stage,blastomeres,endoderm,erythrocytes,eye,glial,immune,mesenchyme,muscle,neural,paraxial_mesoderm,pericytes,somites,spinal_cord,visceral_smooth_muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,5.26,10.51,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,6.29,12.59,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82
 36-46,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0
 48-58,0,0,0,0.57,0,0,0.57,0,0.57,0,0,0,0,0,0
 60-70,0,0,0.98,0,0,0,2.94,0.98,0.98,0,0,0,0,0,0
 72-82,0,0,0,0,1.96,0,2.94,0,0,0,0,0,0,1.96,0
 84-94,0,0,0,1.06,0,0,2.12,0,1.06,0,0,0,1.06,0,0
 96-106,0,0,0,1.09,0,0,2.19,0,2.19,0,3.28,0,0,1.09,0
108-118,0,0.77,0,0,0,3.06,1.53,0,1.53,0,0.77,0,0,0,0
120,0,0,0,0,0,0,5.88,0,0,0,0,0,0,0,0
