stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,6.29,0,0,0,0,3.15,0,0,0,0,31.47,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,0,0,14,0,0,0,0,10,0,0,0,0,0,0,3,0,0,31,2,0,0,0,0,4,1,0,1,11,0,0,0,1
 24-34,0,0,2.46,0,0,25.45,0,0,0,0,0.82,0,0.82,0,0,0,1.64,2.46,0.82,0,12.31,0,1.64,0.82,0,0,9.03,0.82,0.82,0,3.28,0,0,0,0.82
 36-46,0,0,0.81,0,0,4.03,0,0,2.42,0,0.81,0.81,0,0,0.81,0,0.81,0,0.81,0.81,6.45,0,2.42,0,0,0,2.42,0,0,0,1.61,0,0,0,0.81
 48-58,0,0.57,1.15,0,0,26.4,0,0,1.15,0,2.3,0,0,0,0,0,0,2.3,0.57,0,11.48,0,2.3,1.15,0,0,1.15,0,0,0,2.3,0,0,0,0
 60-70,0,0,2.94,0,0,196.3,0,0,0.98,0,0,0,0,0,0,0,0,1.96,1.96,0.98,16.69,0,0.98,0.98,0,0,0,0,0,0,0.98,0,0,0,0
 72-82,0,0,11.78,0,0,337.69,0,0.98,10.8,1.96,2.94,0,1.96,0,0.98,0,0,7.85,0,0.98,24.54,0.98,3.93,0,0,0,0,0,0,0,0,0,2.94,0,0
 84-94,0,0,18.05,0,2.12,265.51,0,0,4.25,4.25,1.06,0,1.06,0,1.06,0,0,3.19,1.06,0,11.68,1.06,1.06,0,0,0,1.06,0,0,0,0,2.12,1.06,0,0
 96-106,0,0,32.79,1.09,2.19,242.61,0,1.09,14.21,3.28,0,0,0,0,1.09,3.28,0,4.37,0,0,20.76,0,2.19,2.19,0,0,3.28,0,0,0,0,0,1.09,1.09,1.09
108-118,0,0,20.68,0,11.49,189.19,0,0,3.83,3.83,0,0.77,2.3,0.77,1.53,0,0,6.13,0,0,19.92,1.53,3.06,0,0,0,1.53,0,0,0,0.77,0.77,1.53,0.77,0
120,0,0,41.16,0,0,235.17,1.96,0,5.88,0,0,0,1.96,0,0,0,0,7.84,0,0,31.36,1.96,0,3.92,0,1.96,1.96,0,0,0,0,0,1.96,0,0
