stage,epidermis,eye,fin_epithelia,gut,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,neural,olfactory,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,spinal_cord,taste
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,2.63,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
 24-34,0,0.82,0,0,3.28,0,0,0,0,0.82,0.82,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,7.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,14.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,16.69,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0
 72-82,2.94,0,0,2.94,31.41,0,0,0,0,0,0,0.98,0,0,1.96,0,0,0,0
 84-94,2.12,0,0,0,29.74,1.06,0,0,0,0,1.06,0,0,0,4.25,0,0,0,1.06
 96-106,13.11,1.09,1.09,13.11,46.99,1.09,0,2.19,0,1.09,4.37,0,0,0,40.44,1.09,0,0,0
108-118,9.19,0,1.53,13.02,26.81,1.53,0,0,0,0.77,1.53,0,0,0.77,20.68,0,0,0.77,0
120,13.72,0,1.96,11.76,41.16,1.96,1.96,0,1.96,0,3.92,1.96,0,0,7.84,0,0,0,0
