stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.89,355.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,288.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,7.89,5.26,13.14,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.12,0,0,0,31.54,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,9.44,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,47.2,0,0,0,3.15,0,0,3.15,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,83,0,0,0,0,0,0,0,0,0,0,19,0,14,0,9,93,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
 24-34,0,0,0,0,0,0,256.11,0,0,0,0,0.82,0,0,0,0,0,13.13,0,13.95,0,0.82,157.6,0,0.82,0.82,0,0,0.82,0,0,0.82,1.64,7.39,0,0,0,0
 36-46,0,0,0,2.42,0,0,642.12,0,0,0,0.81,0,0,0,0.81,0,0.81,1.61,0,18.53,0,0.81,82.18,0,0,0.81,0,0,1.61,0,0,0,0.81,6.45,0,0,0,0
 48-58,0,0,0,4.02,0.57,0,1379.43,0,0,1.15,14.92,0,0,0,0,0,0.57,0,0.57,43.61,0,1.15,138.86,0.57,0.57,0.57,0,0,0.57,0,0,0,0,26.97,0,0.57,0,2.3
 60-70,0,0,0,0.98,0,0,925.58,0,1.96,0,34.35,0,0,0,0,0,0,0,0,22.58,1.96,0,56.93,0.98,0.98,0,0,0.98,0.98,0,0.98,0.98,0,2.94,0,0,0,0.98
 72-82,0,0,0,5.89,0,0.98,382.85,0.98,1.96,0,52.03,0,0,0,0.98,0.98,0,0,0.98,10.8,1.96,0.98,29.45,0.98,2.94,0.98,0,0.98,0.98,0,0,0,0,0.98,0.98,0.98,0.98,0
 84-94,0,0,0,3.19,0,0,292.06,0,1.06,0,37.17,1.06,0,0,0,0,0,0,0,10.62,2.12,2.12,38.23,0,11.68,0,0,0,1.06,0,0,0,0,6.37,0,1.06,3.19,0
 96-106,0,0,0,8.74,1.09,0,216.38,0,0,2.19,29.51,3.28,0,2.19,0,0,0,1.09,0,12.02,4.37,0,33.88,0,27.32,0,0,1.09,1.09,0,0,0,0,2.19,1.09,1.09,2.19,0
108-118,0,0,0,2.3,0,0,242.81,0,0,0,23.74,1.53,0,0,0,0,0,0.77,0,9.19,1.53,1.53,26.81,0,3.83,0.77,0,0,0,0,0,0,0,0.77,0,0,0,0
120,0,0,0,3.92,1.96,0,243.01,0,0,0,23.52,0,0,0,1.96,0,0,0,0,3.92,1.96,0,25.48,0,9.8,0,0,0,1.96,0,0,0,0,1.96,0,1.96,0,0
