stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,2.63,0,39.43,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,69.23,0,0,0,6.29,0,47.2,0,0,3.15,0,0,0,0,0,0
 14-21,0,21,4,3,0,0,2,0,2,0,0,2,0,0,7,7,0,2,39,0,0,0,0,0,884,0,5,0,0,4,12,0,0,0
 24-34,0,4.1,0.82,4.93,0,1.64,0.82,0,0.82,0.82,0,3.28,0,0,4.1,11.49,0,4.1,59.92,1.64,5.75,0,0,0,1212.4,0,0,0,1.64,1.64,6.57,0,0.82,0
 36-46,0,1.61,0,4.03,0.81,4.03,0,0,0,0,0,0,0,0,4.83,4.03,0,0.81,29.81,0.81,1.61,0.81,0,0,874.96,0,0,0,0,0,6.45,0,0.81,0.81
 48-58,0,1.72,0,5.74,0,1.15,0,0,0,0,0,0,0,0,2.87,2.87,0,1.15,11.48,0,0.57,0,0,0.57,284.03,0,0,0,0,0,1.72,0,0,1.15
 60-70,0,0,0,2.94,0,1.96,0,0,0,0,0,0,0,0,0.98,0,0,0.98,6.87,0,0,0,0,0,86.37,0,0,0.98,0,0,1.96,0.98,0,0
 72-82,0,1.96,0,6.87,0,1.96,0,0.98,0,0,0,0.98,0,0,0,0,0,0,5.89,0,0,0,0,0,73.62,0,0,0,0,0,0,0,0,0
 84-94,0,4.25,0,4.25,0,5.31,1.06,0,0,0,0,0,0,0,1.06,3.19,0,0,6.37,0,1.06,0,0,0,409.95,0,0,0,0,0,0,5.31,0,0
 96-106,0,12.02,0,6.56,0,3.28,5.46,2.19,0,0,0,1.09,0,0,1.09,2.19,0,0,2.19,0,0,0,0,0,218.57,0,0,0,1.09,0,0,2.19,0,0
108-118,0,9.19,0,9.19,0,6.13,1.53,0.77,0,0,0.77,5.36,0.77,0.77,0.77,1.53,1.53,0,7.66,0,0,0,0,0,434.3,0,0,0,0,0,0.77,4.6,0,0
120,0,3.92,0,3.92,0,3.92,0,1.96,0,0,1.96,1.96,0,0,0,1.96,1.96,0,1.96,0,0,0,0,0,135.23,0,0,0,0,0,0,0,0,0
