stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,hatching_gland,immune,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord,vasculature,xanthophores
  3-4,79.07,1607.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,24.52,901.06,0,0,0,0,0,0,12.26,0,0,0,0,0,0,30.65,6.13,0,0,6.13,0,0,0,0,0,0
  7-9,2.63,5.26,15.77,0,0,21.03,0,0,2.63,0,0,0,0,0,0,157.72,5.26,0,57.83,0,2.63,0,0,0,0,0
 10-12,0,3.15,12.59,0,3.15,18.88,0,0,3.15,0,0,0,0,0,0,110.14,9.44,0,22.03,0,0,0,6.29,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,18,0,0,1,0,0,2,0,5,0,0
 24-34,0,0,2.46,0.82,0,4.1,0,0,0,0,0,0,7.39,0,2.46,61.56,0,0,0,0,0,0,0,11.49,1.64,0
 36-46,0,0,0,0,0,13.7,0.81,3.22,0,0,0,0,9.67,0,2.42,37.87,0,0,0,0.81,0,0,0,8.06,0,0.81
 48-58,0,0,0,0,0,5.74,0,4.02,0,0,0,0,4.59,0,0,17.21,0,0,0,0,0,0,0,1.72,0,0
 60-70,0,0,0,0,0,5.89,0,1.96,0,0,0,0.98,5.89,0,0,13.74,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,5.89,0,2.94,0,0,0,0,4.91,0.98,0.98,11.78,0,0.98,0,0.98,0,0,0,1.96,0,0.98
 84-94,0,0,0,0,0,4.25,0,0,0,0,0,0,4.25,0,1.06,8.5,0,0,0,1.06,0,0,0,1.06,0,0
 96-106,0,0,0,0,0,0,1.09,0,0,0,1.09,0,1.09,0,1.09,9.84,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,3.06,0,0,0,0,2.3,0,0.77,7.66,0,0,0,0,0,0,0,0,0,0
120,0,0,0,1.96,0,3.92,0,0,0,1.96,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0,0,0
