stage,axial,blastomeres,endocrine.pancreas,eye,mesenchyme,muscle,neural,otic,somites,spinal.cord
  5-6,0,6.13,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,1,0
 24-34,0,0,0.82,0.82,0,0,2.46,0,0,0.82
 36-46,0,0,0,0,0.81,0,13.7,0,0,0
 48-58,0,0,0,0,1.15,0.57,12.05,0,0,1.72
 60-70,0,0,0,0,3.93,0,25.52,0,0,0
 72-82,0,0,0,0.98,0.98,0,10.8,0,0,1.96
 84-94,0,0,0,1.06,0,0,7.43,0,0,1.06
 96-106,0,0,0,1.09,2.19,0,1.09,0,0,0
108-118,0,0,0,0,0.77,0,3.06,0,0,0
120,0,0,0,0,1.96,0,9.8,1.96,0,0
