stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,somites,spinal_cord,vasculature
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,2.63,0,0,0,0,0,15.77,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,12.59,3.15,0,0,6.29,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,2,1,0
 24-34,0,0,0,0.82,0.82,0,0,0,0,1.64,13.95,0,0,0,0,0.82,0,0,1.64,0.82
 36-46,0,0,0,0,4.83,0,0,0.81,1.61,0.81,18.53,0,0.81,0,0,0,0,0,4.03,0
 48-58,0,0,0,0,2.3,0,0,1.72,1.15,0,9.75,0,0,0,0,0,0,0,2.3,0
 60-70,0,0,0,0,4.91,0,0,1.96,0,0,5.89,0,0,0,0,0,0,0,0.98,0
 72-82,0,0,0,0.98,2.94,0,0.98,2.94,1.96,0,2.94,0.98,0,1.96,0,0,0,0,1.96,0
 84-94,0,0,0,0,3.19,0,0,2.12,1.06,0,3.19,0,0,0,0,0,0,0,1.06,0
 96-106,0,0,0,0,0,0,1.09,2.19,0,0,2.19,0,0,2.19,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0.77,1.53,0,2.3,0,0,0,0,0,0,0,0,0
120,0,0,0,1.96,1.96,1.96,0,0,1.96,1.96,1.96,0,0,0,0,0,1.96,0,0,0
