stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1,1,5,2,1,0,0,0,6,1,0,0,0,0,0,0,7,0,6,29,0,0,0,0,3,7,0,7,30,0,0,0,0
 24-34,0,0,0.82,0,5.75,0,0,2.46,2.46,0,0,0,0,1.64,0,0,20.52,0,5.75,50.07,7.39,1.64,0,0,0,7.39,0,0,20.52,0,0.82,0,0
 36-46,0,0,1.61,0,2.42,0,0,0,3.22,0,0,0,0,0,0.81,0.81,17.72,0,0,56.4,18.53,0.81,0,0,0,4.83,0,0,12.09,0,0.81,0,0
 48-58,0,0,0.57,0,3.44,0.57,0.57,0.57,1.72,0,0,0,0,0,0,0.57,18.36,0,2.3,33.28,13.2,1.15,0,0.57,0,1.72,0,0,8.03,0,0.57,0,0
 60-70,0,0,0.98,0,3.93,0,0,0.98,6.87,0.98,0,0,0,0.98,0,0,13.74,0,2.94,48.09,16.69,0,0,0.98,0,2.94,0,0,4.91,0.98,0.98,0,1.96
 72-82,0,0,0.98,0,11.78,0,0,0,15.71,0,0,0,0,0,0,0,36.32,0,2.94,55.95,53.99,2.94,0,0.98,0,1.96,0.98,0,12.76,0.98,0.98,0.98,0
 84-94,0,0,2.12,0,7.43,0,0,0,8.5,0,2.12,0,0,1.06,0,0,19.12,0,6.37,11.68,35.05,9.56,1.06,0,0,2.12,0,0,6.37,0,0,0,0
 96-106,0,0,1.09,0,4.37,0,0,1.09,15.3,1.09,0,0,0,5.46,0,0,10.93,1.09,2.19,26.23,81.96,7.65,0,2.19,0,1.09,0,0,7.65,0,1.09,0,0
108-118,0,0,0,0,3.06,0,0.77,1.53,7.66,0,0,0.77,0.77,2.3,0,0,12.26,0,0.77,24.51,44.43,3.83,0,0.77,0,1.53,0,0,11.49,0,0.77,0.77,0
120,0,0,0,1.96,7.84,0,0,0,1.96,0,0,1.96,1.96,0,0,1.96,11.76,0,1.96,11.76,48.99,0,0,0,0,3.92,0,0,3.92,0,0,0,0
