stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,13,1,0,0,0,0,0,1,1,72,0,0,0
 24-34,0,2.46,0,0,2.46,0,0.82,0,0,0,0,0,0,0,7.39,0,2.46,146.11,2.46,0.82,0.82,0,0,0,0,0,241.33,0,0,0
 36-46,0,0.81,0,0,7.25,0,2.42,29.81,0,0.81,0,0.81,0,0,4.03,0,4.03,260.23,0.81,0.81,0.81,0,0,1.61,0.81,0,326.3,0,0.81,0
 48-58,0,1.72,0,0,16.64,0.57,1.72,46.48,0,0,0,0,0,0,9.18,0,4.02,301.25,0.57,0.57,0,0,0,0.57,0,0,183.04,0,0,0
 60-70,0,0.98,0,0,7.85,0.98,0.98,19.63,0,0,0,0.98,0,0.98,4.91,0,0.98,302.31,0,0,0,0,0,0,0,0,68.71,0,0,0
 72-82,0,2.94,0.98,0,22.58,0.98,1.96,27.49,0,0,0,0,0,0,30.43,0,2.94,293.52,0,0,1.96,0,0,2.94,0,0,53.01,0,0.98,1.96
 84-94,0,5.31,0,0,22.3,0,0,11.68,0,1.06,1.06,0,1.06,0,14.87,4.25,2.12,217.72,0,1.06,1.06,0,0,2.12,0,0,28.68,1.06,0,1.06
 96-106,0,7.65,0,0,19.67,0,2.19,12.02,0,1.09,0,1.09,0,0,32.79,0,0,161.74,0,0,1.09,0,0,1.09,0,0,20.76,0,0,1.09
108-118,0,1.53,1.53,0,5.36,0,0.77,5.36,0.77,1.53,0.77,0,0.77,0,15.32,0.77,0,208.34,0,0,0.77,0,0.77,0,0,0,21.45,0,1.53,0.77
120,0,5.88,0,1.96,3.92,0,0,3.92,0,0,0,0,0,0,11.76,0,1.96,154.82,0,0,0,0,0,0,0,0,19.6,0,0,0
