stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,0,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,9,1,0,0,0,0,1,0,0,0,10,0,0,0,0,4,0,0,2,27,0,0,0,0,0,24,0,0,1,19,0,0,0,0,0
 24-34,0,0,0,0.82,2.46,0,2.46,0,0,0,0,0,0,0,8.21,0,0,0,1.64,3.28,3.28,0,2.46,215.06,0.82,10.67,0,0,0,175.66,2.46,0,1.64,82.09,0,0,3.28,0,0
 36-46,0,0,0,0,0,0,11.28,0,0.81,0,0.81,0,0,0,0.81,0,0,0,4.83,4.83,3.22,0.81,2.42,515.63,0,13.7,0,0,0,123.27,0,0,0,132.94,0,0,0.81,0,0
 48-58,0,0,0,0,2.3,0,54.51,0.57,0,0,5.74,0.57,0.57,0.57,1.15,0,0.57,0,8.03,6.31,5.16,1.72,2.3,732.75,0,7.46,0,0,0,37.3,0,1.15,0,148.04,0,0,1.15,0,0.57
 60-70,0,0,0,0,2.94,0,163.91,0,0.98,0,29.45,0.98,0,0,2.94,0,0,0,4.91,9.82,7.85,0.98,1.96,1231.81,0,9.82,2.94,0,0,26.5,0,0.98,0,158.03,0,0,0.98,0,1.96
 72-82,0,0,0,0,8.83,2.94,185.53,0,0.98,0,66.75,0,0,0.98,5.89,0.98,0,0.98,2.94,22.58,10.8,0,0.98,1074.92,0,13.74,4.91,0,0,9.82,0,0,0,77.55,0.98,0,0.98,0,0
 84-94,0,0,1.06,0,13.81,0,126.38,0,1.06,1.06,53.1,3.19,1.06,2.12,11.68,2.12,1.06,0,5.31,21.24,11.68,0,1.06,536.33,0,6.37,4.25,0,0,39.3,0,0,0,44.61,0,1.06,1.06,1.06,0
 96-106,0,0,1.09,0,39.34,2.19,118.03,0,2.19,3.28,85.24,2.19,0,1.09,20.76,0,4.37,2.19,6.56,21.86,16.39,2.19,0,531.12,0,17.49,13.11,0,0,46.99,0,0,0,36.06,2.19,0,2.19,0,0
108-118,0,0,0,0,43.66,0,105.7,0,1.53,0,67.4,1.53,0.77,5.36,21.45,0,3.06,1.53,9.96,13.02,9.96,0,2.3,510.9,0,12.26,11.49,0,0.77,38.3,0,0,0,17.62,0.77,0,3.83,0,0
120,0,0,0,0,37.24,0,86.23,0,5.88,1.96,52.91,3.92,0,3.92,15.68,1.96,1.96,0,5.88,17.64,1.96,0,0,642.81,0,3.92,11.76,0,0,29.4,0,0,0,35.28,3.92,0,0,0,0
