stage,blastomeres,epidermis,eye,glial,ionocyte,iridophores,mesenchyme,neural,spinal.cord,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,0.82,0,0,0
 48-58,0,0,0,0,0.57,0,0.57,0,0,0,0.57
 60-70,0,0.98,0.98,0,1.96,0,10.8,1.96,0,0,0
 72-82,0,0,1.96,0,0.98,1.96,22.58,0,0,0.98,0
 84-94,0,1.06,4.25,0,6.37,0,22.3,0,0,0,0
 96-106,0,1.09,1.09,2.19,7.65,0,8.74,1.09,1.09,0,0
108-118,0,0,0,1.53,6.13,0.77,6.13,1.53,0,0,0
120,0,0,0,0,5.88,0,7.84,0,0,0,0
