stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,26.36,1106.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0
  5-6,24.52,888.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,5.26,15.77,49.95,0,0,28.92,0,0,0,0,0,23.66,0,0,0,0,0,0,0,0,467.91,2.63,0,0,134.06,0,0,2.63,0,0,0,0,0,0
 10-12,0,6.29,15.73,0,6.29,25.18,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,201.41,6.29,0,0,59.79,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,2,8,2,1,0,0,0,4,0,0,0,0,1,0,0,8,0,7,92,2,0,0,2,0,0,0,7,0,4,44,1,0
 24-34,0,0,0,0.82,0.82,6.57,0,0,0.82,1.64,0.82,0,0,0,0.82,0,0,18.88,0,4.1,115.74,0.82,2.46,0,0,0,0,0,0,1.64,0.82,30.37,1.64,0
 36-46,0,0,0,0,0,22.56,0,0,0,0.81,0,0,0,0,0,0,0,4.83,0,1.61,73.32,0,0.81,0,0,0,0.81,0,0,0,0,16.92,0,0
 48-58,0,0,0,0,0,22.38,0,0,0.57,2.3,0,0,0,0,0,0,0,6.89,0,1.15,17.79,0,0.57,0.57,0,0,0.57,0,0,0,0,8.03,0.57,0
 60-70,0,0,0,0.98,0,5.89,0,0,0,5.89,0,0,0.98,0,0,0,0,1.96,0,0,15.7,0,0,0,0,0,0.98,0,0,0,0,2.94,0,0
 72-82,0,0,0,0,0.98,7.85,0,0,0,0.98,0,0,0,0,0,0,0.98,5.89,0,0,18.65,0.98,0,0,0,0,0,0,0,0,0,0.98,0,0
 84-94,0,0,0,1.06,1.06,12.74,0,0,0,0,1.06,0,0,1.06,1.06,1.06,0,4.25,1.06,0,3.19,0,0,0,0,0,0,0,0,0,0,1.06,1.06,0
 96-106,0,0,0,1.09,2.19,2.19,1.09,0,0,2.19,0,0,0,0,0,0,0,3.28,0,1.09,7.65,0,0,0,0,0,0,0,0,1.09,0,0,0,0
108-118,0,0,0,0.77,1.53,3.06,0,0.77,0.77,4.6,0,0,0,0,0,0,0,1.53,0,0,9.19,0,0,0,0,0.77,0,0,0,0,0,1.53,0,0.77
120,0,0,0,1.96,5.88,3.92,0,0,0,1.96,0,0,0,0,0,0,0,5.88,1.96,0,3.92,0,0,0,0,0,0,0,0,0,0,0,0,0
