stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,52.71,1620.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.14,0,0,0,0,0,0,0
  5-6,6.13,429.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,10.51,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,628.26,0,0,0,323.33,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110.14,3.15,0,0,18.88,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,8,0,0,0,0,0,1,0,1,0,0,0,1,0,2,0,0,1,3,0,1,0,3,1,0,0,0,0
 24-34,0,0,1.64,2.46,4.1,0,0.82,0,0,0,0.82,0,0,0.82,0,0,0,0.82,0,11.49,0,7.39,0,0,13.13,0,4.1,0.82,0,0,0,0
 36-46,0,0,0,0,2.42,0,0.81,0,0,0,0.81,0,0.81,0.81,0,0,0,0,0,10.47,0,10.47,1.61,0,11.28,0.81,0.81,0.81,0,0,0,0
 48-58,0,0,0,0,0.57,0.57,0.57,0.57,0,0,1.15,0,0,0.57,0,0,1.72,0,0,7.46,0,8.61,0.57,0,2.87,0,0.57,0,0,0,0,0
 60-70,0,0,0.98,0,2.94,0,1.96,0,0,0.98,1.96,0,0,0.98,0,0,0.98,0,0,8.83,0,7.85,0.98,0,2.94,0,0,0,0.98,0,0,0
 72-82,0,0,6.87,0.98,3.93,0,5.89,0,0.98,0,10.8,0,0.98,1.96,0,0,0,0,0,9.82,0,16.69,1.96,0,2.94,0,0,0,0.98,0.98,0,0
 84-94,0,0,3.19,0,3.19,0,1.06,0,0,0,8.5,0,1.06,0,1.06,1.06,1.06,1.06,0,9.56,0,18.05,1.06,0,14.87,0,1.06,0,2.12,0,0,0
 96-106,0,0,9.84,0,5.46,0,4.37,0,0,0,15.3,4.37,1.09,1.09,4.37,0,3.28,1.09,1.09,10.93,0,25.14,5.46,0,9.84,1.09,1.09,0,5.46,0,1.09,0
108-118,0,0,3.83,0.77,6.13,0,0.77,0,0,1.53,12.26,0.77,0,3.06,2.3,0,1.53,2.3,0,6.13,0,22.21,2.3,0,9.19,0,0.77,0,3.83,0,0,0
120,0,0,0,0,7.84,0,3.92,0,0,0,27.44,0,0,1.96,0,0,3.92,0,0,3.92,0,13.72,3.92,0,5.88,1.96,1.96,0,5.88,0,0,1.96
