stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,3.15,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,4,0,0,1,0,0
 24-34,0,1.64,1.64,0,0,4.1,0,0.82,0.82,0,0.82,0,0,0,0,1.64,0,0.82,0,1.64,13.95,0,3.28,0,0,0,0,0,0,4.1,0,0,1.64,0,0
 36-46,0,0.81,0,0,0,5.64,0,0.81,0,0,1.61,0.81,0,0,0,0,0.81,7.25,0.81,4.83,81.37,1.61,22.56,0,0,0,0,0.81,0,10.47,0,0,0,0,0
 48-58,0,0,0,0,0,8.03,0,2.87,3.44,0,0.57,0.57,0.57,0,1.15,0,0.57,13.2,0,2.3,104.43,0,13.77,0,0,0,0,0.57,0,3.44,0,0,0,0,0.57
 60-70,0,0.98,0.98,0,0,105.02,0,1.96,5.89,0,0,10.8,0,1.96,3.93,1.96,0,42.21,0,4.91,259.12,0,11.78,1.96,0,0,0.98,4.91,0,8.83,0,0.98,0,0,0
 72-82,0,0,2.94,0.98,0,432.91,0,10.8,25.52,0.98,1.96,7.85,0.98,0,4.91,1.96,0,97.18,1.96,6.87,394.63,0.98,33.38,0.98,0,0,0,16.69,0,11.78,0.98,2.94,0,6.87,0
 84-94,0,1.06,4.25,1.06,0,309.05,1.06,3.19,19.12,0,0,19.12,2.12,0,3.19,1.06,0,52.04,4.25,4.25,210.28,0,19.12,3.19,0,0,2.12,52.04,0,3.19,0,1.06,3.19,3.19,1.06
 96-106,0,1.09,13.11,4.37,0,466.65,0,2.19,31.69,0,3.28,19.67,0,1.09,13.11,0,0,64.48,0,3.28,243.7,0,43.71,8.74,0,1.09,1.09,56.83,0,3.28,1.09,5.46,1.09,4.37,0
108-118,0,1.53,6.89,0,1.53,346.98,0,4.6,26.81,0.77,0.77,19.15,0,0,10.72,0.77,1.53,58.98,0.77,4.6,213.7,0,27.57,3.83,0,0.77,2.3,36.77,0.77,4.6,0.77,0,1.53,3.06,0
120,0,0,5.88,1.96,0,272.41,1.96,0,19.6,0,1.96,19.6,0,0,7.84,1.96,0,33.32,1.96,0,229.29,1.96,27.44,1.96,0,1.96,0,39.2,1.96,1.96,0,0,0,7.84,0
