stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,ionocyte,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,10.51,2.63,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,70.98,0,0,0,21.03,0,0,0,0,0,0
 10-12,0,3.15,6.29,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,47.2,0,0,0,34.62,0,0,3.15,0,0,0
 14-21,0,0,0,7,1,2,0,1,0,2,0,0,0,4,0,0,4,36,1,0,2,1,5,2,0,0,13,1
 24-34,0,0,0.82,0.82,0.82,6.57,0,1.64,0,0,0,0,0,6.57,0,0,4.1,30.37,0.82,0,0,0,3.28,0,0,0.82,6.57,0
 36-46,0,0,0,1.61,0,7.25,0,0.81,0.81,0,0,1.61,0,5.64,0,0,1.61,12.89,0.81,0,0,0,2.42,0.81,0,0,2.42,0
 48-58,0,0,0,1.15,0,8.61,0.57,0.57,0,0,0,0,0,1.15,0,0,1.72,7.46,0,0.57,0.57,0,1.15,0,0,0,0.57,0
 60-70,0,0,0,0,0,13.74,0,2.94,0,0,0.98,0,0,1.96,0,0,1.96,6.87,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.98,0,1.96,0,0,0,0,0,0.98,0,0,0,2.94,0,0,0.98,0,0,0,0,0,0,0
 84-94,0,0,0,1.06,0,1.06,0,0,2.12,0,0,0,0,1.06,0,1.06,0,2.12,0,0,0,0,1.06,0,0,0,0,0
 96-106,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0,0,6.56,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,2.3,0.77,1.53,0,0.77,0,0,0,0,0.77,1.53,0.77,0,0.77,3.83,0,0,0,0,0,0,0,0,0,0
120,0,0,0,1.96,0,0,0,1.96,0,0,0,0,0,3.92,0,0,1.96,3.92,0,0,0,0,0,0,0,0,1.96,0
