stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,0,0,0,2,0,0,0,0,0,0,12,0,0,0,0,1,0,0,0,0,0,1,3,0,3,6,0,0,0,0,0
 24-34,0,0,4.1,0,0,0,0,0.82,0,0,0,0,0,0,10.67,0,0.82,0,0,5.75,4.1,0,0,0,0,0,0,0.82,0,6.57,0,0,0,0,0
 36-46,0,0,0.81,0,1.61,0.81,0,0,0,0,0.81,0,0,0,4.83,0,4.03,0,0.81,8.86,3.22,0,4.03,0,0.81,0,0.81,0,0,4.03,0,0,0,0,0
 48-58,0,0,0,0.57,1.15,0,0,2.3,0,0,1.15,0.57,0,0,4.02,0.57,62.54,0,0,6.89,0,0,5.74,0,1.15,0,0,0,0,1.15,0,0,0,0,0.57
 60-70,0,0,0.98,0,7.85,0,0.98,10.8,0,0,0,0,0,0,2.94,0,240.47,0.98,0,8.83,0,0,4.91,0,0,0,0,0,0,2.94,0,0,0,0.98,0
 72-82,0,0,2.94,0.98,14.72,0.98,0,24.54,10.8,0,0,0.98,0,0,48.1,0,468.25,0,3.93,23.56,0,0.98,15.71,0,0,0,0,0,0,0.98,0,0,0,6.87,0.98
 84-94,0,0,3.19,0,22.3,0,0,13.81,20.18,0,0,1.06,0,0,166.74,0,389.77,1.06,1.06,18.05,1.06,0,15.93,0,4.25,0,1.06,0,0,4.25,1.06,1.06,0,4.25,0
 96-106,0,1.09,3.28,0,24.04,1.09,0,29.51,21.86,0,0,1.09,0,0,284.14,0,243.7,0,1.09,50.27,0,0,21.86,0,3.28,0,0,0,0,1.09,0,1.09,1.09,4.37,0
108-118,0,0.77,3.06,0.77,29.87,0,0.77,20.68,22.98,0,0,0.77,0.77,0.77,475.66,0,179.24,0,0.77,20.68,0,0,31.4,0,1.53,0,0,0,0,1.53,0.77,0.77,0,3.83,0.77
120,0,1.96,7.84,3.92,7.84,0,0,13.72,13.72,0,0,0,0,0,190.1,0,139.14,0,0,29.4,0,0,9.8,0,0,0,0,0,0,1.96,0,0,0,1.96,0
