stage,blastomeres,epidermis,gut,ionocyte,lateral_line,mucous,neural,otic,periderm,spinal_cord,vasculature
  5-6,12.26,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,0,0,0,2,0,0
 24-34,0,0.82,0,0.82,0,0.82,2.46,1.64,0,0,0
 36-46,0,0,0,0,0,0,0.81,0.81,0,0,0.81
 48-58,0,0,0,0,0,0,0,1.72,0.57,0.57,0
 60-70,0,0,0,0,0,0,7.85,0,0,0,0
 72-82,0,0.98,0,0,0,0,3.93,0,0,0,0
 84-94,0,0,0,0,0,0,2.12,0,5.31,0,0
 96-106,0,1.09,0,0,0,0,1.09,0,2.19,0,0
108-118,0,0,0.77,0.77,0.77,0,2.3,1.53,3.06,0,0
120,0,1.96,0,0,0,0,0,0,0,0,0
