stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,1.64,0,0,0.82,22.16,0,0,0,0.82,0,4.93,0,0,0,0,0
 36-46,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,55.59,0,0,0,0,0,8.86,0,0,0,0,0
 48-58,0,0,0,0.57,0,0,12.62,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,84.92,0,0,0,0.57,0,2.3,0,0,0.57,0,0.57
 60-70,0,0,0,0,0,0,73.61,0,0,1.96,0,0,0,0,0,0,0,1.96,0,0,0.98,211.03,0,0.98,0,0,0,7.85,0,0,0,0,0
 72-82,0,0,0.98,2.94,0,0,108.96,0,0,5.89,0,0,0,0,0,0,0,4.91,0.98,0,0.98,300.39,0.98,0.98,0,0.98,0,6.87,0,0,0.98,0.98,0
 84-94,0,0,0,4.25,0,0,65.85,0,0,2.12,0,0,1.06,0,0,0,0,5.31,0,1.06,2.12,159.31,0,1.06,0,1.06,0,2.12,0,1.06,1.06,0,0
 96-106,0,0,0,0,1.09,1.09,63.39,1.09,0,6.56,2.19,0,0,0,0,1.09,0,2.19,1.09,1.09,0,174.86,0,1.09,0,3.28,1.09,1.09,1.09,1.09,0,0,0
108-118,0,0.77,0,1.53,0,0,45.19,0.77,0.77,3.83,0,0,0,0.77,0,0,0,4.6,0,0,1.53,157.79,0.77,0,0,0,0,2.3,0,0,0.77,0,0
120,0,0,0,5.88,0,0,50.95,0,0,3.92,1.96,0,1.96,0,0,0,3.92,7.84,0,0,0,170.5,1.96,0,0,1.96,0,5.88,0,0,1.96,0,1.96
