stage,blastomeres,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,5.26,2.63,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0
 36-46,0,0,0.81,0,0,0,0,0,0,1.61,0,0,4.03,0,0,0,0,0,0.81,0,0
 48-58,0,0,0,0,0,0,0.57,0,0,0.57,0,0,0.57,0,0,0,0,0,0.57,0,0
 60-70,0,0,1.96,0.98,0,0,2.94,0,0,1.96,0,0.98,0,0,0,0,0,0,0.98,0,0
 72-82,0,0.98,0.98,0,0,0,4.91,0,0,0,0,0,0.98,0,0.98,0,0,0,1.96,0,0
 84-94,0,0,0,0,1.06,1.06,9.56,0,1.06,1.06,0,0,0,0,0,0,1.06,1.06,0,0,1.06
 96-106,0,1.09,0,0,0,1.09,17.49,1.09,0,2.19,1.09,0,6.56,0,0,1.09,0,0,0,0,0
108-118,0,0.77,0,0,0,1.53,13.79,0,0.77,0,0,0,3.83,0,0,0,0,0,0,0.77,0
120,0,1.96,0,0,0,0,17.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
