stage,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,liver,mesenchyme,mural_cell,muscle,neural,notochord,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,2.63,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,1,1,3,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,2,0,0,0,0
 24-34,0,1.64,0,0,0,0,0,0,0,0,0.82,9.03,0,1.64,2.46,0,0,0,0,0.82,2.46,4.1,0,0,0
 36-46,0,0,0.81,0.81,0,0,0,0,0,0,0.81,2.42,0.81,0,0.81,0,0,1.61,0,0,0,0.81,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0.57,0.57,1.15,0.57,1.72,0,0,0,0,0,0,0.57,0,0,0
 60-70,0,0,0,0.98,0,0,0,0,1.96,0,1.96,8.83,0,0,0,0,0,3.93,0,0,0,0,0,0,0.98
 72-82,0,0,0,2.94,0,0,0,0,0,0,3.93,14.72,3.93,0.98,3.93,0,0,6.87,0,0,0,0.98,1.96,0,3.93
 84-94,0,0,0,2.12,0,0,0,0,1.06,0,12.74,10.62,5.31,2.12,4.25,1.06,0,5.31,0,0,0,0,0,0,6.37
 96-106,0,0,0,7.65,1.09,0,2.19,1.09,2.19,0,21.86,8.74,4.37,8.74,12.02,0,0,10.93,1.09,0,0,0,0,0,10.93
108-118,0,0,0.77,1.53,0,1.53,0.77,0,0.77,0,42.89,16.09,3.06,6.13,4.6,2.3,0,11.49,0.77,0.77,0,0,0,0.77,8.43
120,0,1.96,0,3.92,0,0,1.96,0,0,1.96,47.03,15.68,0,0,9.8,1.96,0,11.76,0,0,0,1.96,1.96,0,11.76
