stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,0,128.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,5.26,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,63.09,2.63,0,0,42.06,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,9.44,0,3.15,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.73,3.15,0,0,44.06,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,6,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,3,19,0,0,1,0,0,1,1,0,2,7,0,0,0,0
 24-34,0,0,0.82,0,4.1,0,2.46,0,0,0.82,0,0,0,0,0.82,0,0.82,0,5.75,0,0,2.46,50.07,1.64,0,0,0,1.64,0,0,0.82,0,18.88,0,0,0,0.82
 36-46,0,0,0,0,0.81,0,8.06,0,0,0.81,0.81,0,0,0,0.81,0,0,0,6.45,0,0,1.61,29.81,0,0,1.61,0,0.81,0,0,0,0,8.06,0,0,0,0.81
 48-58,0,0,0,0,0,0,17.79,0.57,0,5.74,0.57,0,0,0,0,0,0,0,12.05,0,0,0.57,28.12,0,0.57,0,0,1.15,0,0,0,0,9.18,0,0,1.15,1.15
 60-70,0,0,0,0,1.96,0,20.61,1.96,0.98,4.91,0,0,0,0.98,0,0,0,0.98,6.87,0,0,0.98,19.63,0,0,0,0,0,0,0,0.98,0,1.96,0,0,1.96,0
 72-82,0,0,0.98,0,0.98,0,7.85,0.98,0,6.87,0,0,0.98,0,0,0,0.98,0,24.54,0,0.98,0,26.5,0,0,0.98,0,0.98,0,0,0,0,0.98,0,0,0.98,0
 84-94,0,0,0,0,2.12,0,9.56,0,0,3.19,2.12,0,1.06,1.06,1.06,1.06,0,0,7.43,0,0,1.06,7.43,0,0,0,0,2.12,0,1.06,0,0,2.12,0,1.06,2.12,0
 96-106,0,0,0,0,2.19,1.09,6.56,0,0,5.46,1.09,0,1.09,0,0,0,1.09,0,16.39,0,1.09,3.28,8.74,0,1.09,2.19,0,2.19,0,0,0,0,1.09,1.09,0,1.09,0
108-118,0,0,0,0,1.53,0.77,9.19,0,0,2.3,0,0,0,0,0.77,0,0,0,12.26,0,0,0,13.79,0,0,0.77,0,0.77,0,0,0,0,0.77,0.77,0,1.53,0
120,0,0,0,0,5.88,0,9.8,1.96,0,7.84,1.96,0,0,1.96,0,0,0,0,3.92,1.96,0,1.96,13.72,0,0,0,0,1.96,0,0,0,0,0,1.96,0,1.96,0
