stage,blastomeres,epidermis,eye,glial,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,spinal.cord
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,0,0,1
 24-34,0,0,0,0,0,0,2.46,0.82,0,0,0,4.1
 36-46,0,0,2.42,0,0,0,12.09,0,0,0,0,2.42
 48-58,0,0,2.87,0,0,0.57,8.61,0,0,0,0,1.15
 60-70,0,0.98,11.78,0,0,0,13.74,0,0,0,0,1.96
 72-82,0,0,5.89,1.96,0,0,7.85,0,0.98,0,0,1.96
 84-94,0,0,5.31,0,0,0,9.56,0,0,1.06,0,0
 96-106,0,0,3.28,0,1.09,0,5.46,0,0,2.19,0,0
108-118,0,0,2.3,0,0,0,3.06,0,0,0,2.3,0
120,0,0,1.96,0,0,0,5.88,0,0,0,0,0
