stage,blastomeres,epidermis,eye,fast_muscle,fin_epithelia,ionocyte,mesenchyme,mucous,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,slow_muscle,spinal_cord
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0
  7-9,0,0,0,0,0,0,0,0,0,10.51,2.63,0,5.26,2.63,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,0,0,0,3.28,0,0.82
 36-46,0,0,0,0,0,0,0.81,0,0,0.81,0,0,0,4.83,0,0
 48-58,0,0.57,0,0,0,0,0,0.57,0,0,0,1.15,0,1.15,0,0
 60-70,0,0,0.98,0,0,0,0,0,0,0,0,0,0,1.96,0,0
 72-82,0,0,0,0.98,0,0,0,0,0,0.98,0,0,0,1.96,0,0
 84-94,0,1.06,0,0,0,0,0,0,0,0,0,0,0,16.99,1.06,0
 96-106,0,1.09,0,0,0,0,1.09,1.09,0,0,0,0,0,12.02,0,0
108-118,0,0.77,0,0,0,0.77,0,0,0,0,0,0,0,9.96,0,0
120,0,0,0,1.96,1.96,0,1.96,0,1.96,1.96,0,0,0,13.72,0,0
