stage,axial,blastomeres,endocrine.pancreas,epidermis,eye,fin.epithelia,glial,gut,iridophores,mesenchyme,mural.cell,neural,olfactory,otic,periderm,spinal.cord,vascular.smooth.muscle
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
 24-34,0,0,0.82,0.82,0,0,0,0,0,0,0,0,12.31,0,0,1.64,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,4.03,8.06,0,0,1.61,0
 48-58,0,0,0,0,0,0,0,0,0,4.02,0,4.59,4.59,0,0,0,0
 60-70,0,0,0,0,0.98,0,0,0,0,9.82,0,5.89,4.91,0.98,0,0,0
 72-82,0,0,0,0,3.93,0,0,1.96,0,7.85,1.96,17.67,15.71,0,0,0.98,0.98
 84-94,0,0,0,0,3.19,0,0,0,1.06,3.19,0,3.19,3.19,0,0,0,0
 96-106,0,0,0,0,2.19,0,1.09,3.28,0,4.37,1.09,1.09,15.3,0,0,0,0
108-118,0,0,0,0,0.77,0,0,0.77,0,5.36,0,1.53,9.96,0,0,0.77,0
120,0,0,0,0,0,1.96,0,1.96,0,5.88,0,5.88,9.8,0,0,0,0
