stage,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,heart,immune,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,2,0,1,0,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0.82,0,0,0.82,43.51,0,0.82,0,0,0,4.1,0.82,9.03,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,0.81,0,0,0.81,0.81,0,0,0,127.3,0,0,0,0.81,0,0,0,20.14,0,0,0,0,0
 48-58,0,0,2.87,0.57,1.15,0,0.57,0,0,0,2.87,0,0,0,199.11,0,0,0.57,0.57,0,0,0,29.84,0,0,0,0,0.57
 60-70,2.94,0,17.67,0.98,1.96,0,0.98,0,0,0,4.91,0,0,0.98,287.59,0.98,0,0.98,0.98,0,0,0,60.85,0,0,0.98,0,0
 72-82,0.98,0,43.19,0,8.83,0.98,0,0,0,0,18.65,0,0.98,0,392.66,0,0,0.98,0.98,0,0,0,45.16,0.98,0,0.98,0.98,0
 84-94,2.12,1.06,35.05,0,6.37,1.06,0,0,0,0,9.56,1.06,0,0,187.98,0,0,0,2.12,0,0,0,24.43,0,1.06,0,0,0
 96-106,1.09,0,24.04,0,7.65,0,0,1.09,0,0,12.02,0,0,0,135.51,0,0,1.09,1.09,0,0,0,10.93,0,0,0,0,0
108-118,3.06,0.77,17.62,0.77,5.36,0,0,0,0.77,0,6.13,0,0,0.77,180.77,0,0,0.77,0,0,0,0,5.36,0,0,0.77,0,0
120,1.96,0,19.6,3.92,7.84,0,1.96,0,0,1.96,5.88,0,0,0,233.21,0,0,0,0,0,0,0,13.72,0,0,1.96,1.96,0
