stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,158.14,3478.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.42,0,0,0,0,0,0,0,0,0,0,0
  5-6,226.8,5694.43,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.3,12.26,0,0,18.39,0,98.07,0,0,0,0,0,0,0,0,0,0,0
  7-9,57.83,86.75,0,102.52,0,0,0,407.45,0,0,0,0,0,86.75,0,0,0,0,0,0,0,0,0,0,3094,18.4,0,0,323.33,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,6.29,56.65,0,94.41,0,22.03,0,276.93,0,0,0,0,0,47.2,0,0,0,0,0,0,0,0,0,0,2193.44,72.38,0,0,138.47,0,0,6.29,0,6.29,0,0,3.15,0,0,0,0,0
 14-21,1,0,0,6,155,12,0,22,0,0,0,4,2,7,4,0,0,0,0,2,53,0,0,50,387,6,3,6,2,0,2,0,20,0,2,51,137,0,0,2,0,0
 24-34,0,0,0,0.82,39.4,1.64,0,83.73,0,1.64,0.82,4.1,0.82,0,4.1,0,0.82,0,0.82,1.64,76.34,1.64,0.82,36.94,845.48,0,9.03,7.39,0,0,0.82,0,0,0.82,0.82,9.85,155.96,0,0,2.46,0,0
 36-46,0,0,0,0,14.5,0,0,173.22,3.22,2.42,4.83,17.72,0.81,0,2.42,0.81,0.81,0.81,0,2.42,64.45,0,3.22,16.92,986.14,0.81,2.42,0.81,0,0.81,3.22,0,0.81,0,0,0,183.69,0,0,1.61,0,0.81
 48-58,0.57,0,0,0.57,9.18,1.15,0,201.98,0.57,1.72,1.72,32.71,0,0,0,0,0.57,0.57,0,0,61.4,1.15,4.59,10.9,554.3,0,1.72,4.02,0,0,1.15,0,0,0,0,0,114.76,0,0.57,0.57,0,0.57
 60-70,0,0,0.98,0,11.78,0,0.98,238.51,0,3.93,2.94,37.3,0.98,0,0,0,0.98,1.96,0,0,68.71,0,1.96,7.85,381.81,0,1.96,1.96,0,0,0.98,0,0,0.98,0,0,58.89,0,0,0.98,0.98,0.98
 72-82,0,0,2.94,0,8.83,0,0.98,117.8,0,5.89,1.96,21.6,2.94,0,0,0,1.96,2.94,0,0.98,96.2,0,5.89,12.76,249.34,0,2.94,3.93,0,2.94,1.96,0,0,0.98,0,0,19.63,0,3.93,1.96,0.98,0
 84-94,0,0,0,0,21.24,0,1.06,118.95,0,11.68,4.25,24.43,2.12,1.06,1.06,0,3.19,1.06,1.06,0,70.09,0,4.25,6.37,177.36,0,1.06,3.19,0,2.12,1.06,0,0,0,0,0,21.24,3.19,5.31,0,6.37,0
 96-106,0,0,2.19,0,18.58,0,0,63.39,1.09,7.65,2.19,13.11,3.28,0,2.19,2.19,0,3.28,0,2.19,65.57,0,4.37,8.74,124.58,0,1.09,3.28,0,4.37,1.09,1.09,0,0,1.09,0,6.56,0,3.28,2.19,2.19,1.09
108-118,0,0,0,0,24.51,0,4.6,43.66,0,16.09,0,13.79,3.06,0,0.77,0,2.3,0.77,0,1.53,45.96,2.3,3.83,8.43,147.83,1.53,2.3,3.83,0,0.77,0,0,0,0,0,0,0.77,3.06,0.77,0,2.3,0
120,0,0,0,0,15.68,0,0,39.2,0,3.92,0,21.56,0,0,0,0,0,3.92,0,0,33.32,0,1.96,3.92,109.75,1.96,1.96,3.92,0,1.96,0,0,0,0,0,0,3.92,0,0,1.96,5.88,0
