stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,2,8,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,1,5,0,0,16,52,47,2,0,0,0,0,11,0,44,52,28,0,0,1,0,2
 24-34,1.64,5.75,0,0,10.67,9.85,3.28,0,2.46,0,0,0.82,0,1.64,2.46,0,0.82,5.75,22.98,0.82,0,20.52,277.45,30.37,40.22,0,0.82,0,0,0,1.64,34.48,17.24,62.39,0,0,0.82,0,0
 36-46,3.22,4.03,0.81,0,16.92,19.34,4.03,0,5.64,0,0,1.61,0,0,8.06,0,0,11.28,41.89,0,1.61,10.47,624.39,22.56,40.28,0,0,0,0,0,2.42,22.56,4.03,94.26,0,0,4.83,0,1.61
 48-58,3.44,2.3,0.57,0,138.29,16.64,0.57,1.15,14.92,0,0,0,0,1.15,13.2,0.57,0,9.75,59.68,0,0.57,16.07,879.07,13.2,29.26,0,0.57,2.3,0,0,2.3,22.38,0,114.19,0,0,5.16,0,1.72
 60-70,0,5.89,0.98,0,1138.57,8.83,3.93,0.98,42.21,0,0,0,1.96,0,23.56,0,0,2.94,82.45,0,1.96,25.52,1608.71,9.82,23.56,1.96,0.98,3.93,0,0,5.89,7.85,0,170.78,3.93,3.93,6.87,0,1.96
 72-82,6.87,51.05,7.85,0,2764.36,10.8,3.93,9.82,179.64,4.91,0.98,5.89,3.93,4.91,22.58,3.93,2.94,1.96,246.4,0,7.85,35.34,2021.24,3.93,47.12,6.87,1.96,6.87,0.98,0,4.91,3.93,0,136.45,6.87,5.89,30.43,3.93,3.93
 84-94,4.25,67.97,6.37,1.06,1629.17,13.81,5.31,5.31,131.69,6.37,0,6.37,2.12,2.12,31.86,0,2.12,5.31,189.04,1.06,6.37,19.12,1151.25,14.87,50.98,6.37,2.12,18.05,0,0,1.06,15.93,0,62.66,24.43,3.19,30.8,2.12,2.12
 96-106,8.74,75.41,13.11,0,1880.79,38.25,10.93,2.19,158.46,8.74,0,6.56,13.11,4.37,29.51,1.09,6.56,8.74,208.73,2.19,18.58,20.76,1081.92,14.21,65.57,7.65,2.19,26.23,1.09,0,5.46,9.84,0,31.69,36.06,8.74,39.34,6.56,3.28
108-118,5.36,36.77,3.06,0,1251.58,30.64,2.3,4.6,117.19,6.13,0,3.83,5.36,2.3,15.32,1.53,2.3,2.3,179.24,0.77,16.09,21.45,1401.71,19.15,47.49,6.89,0,8.43,0,0,2.3,8.43,0,36,34.47,0,36,5.36,0.77
120,1.96,47.03,5.88,1.96,776.08,11.76,3.92,1.96,94.07,1.96,0,5.88,1.96,1.96,7.84,0,3.92,3.92,94.07,1.96,1.96,21.56,1168.03,11.76,19.6,1.96,1.96,9.8,1.96,0,0,0,0,29.4,9.8,0,19.6,0,0
