stage,epidermis,erythrocytes,exocrine_pancreas,eye,glial,immune,mesenchyme,muscle,neural,olfactory,pronephros,somites,vascular_smooth_muscle,vasculature
  7-9,0,0,0,0,0,0,0,0,15.77,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,6.29,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,0,0,2,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0.57,0,0,0,0.57,0.57,0,0,0,0,0.57
 60-70,0,0,0,0,0,0,0.98,0,0.98,0,0,0,0,0
 72-82,0,0,0,0,0,0,1.96,0.98,0.98,0,0,0,0,2.94
 84-94,0,0,1.06,0,0,0,1.06,0,1.06,0,0,0,0,0
 96-106,0,1.09,1.09,0,0,1.09,1.09,0,1.09,1.09,0,0,1.09,0
108-118,0.77,0,0.77,0,0,0,4.6,0.77,0.77,0,0,0,0,0
