stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,0.81,2.42,0.81,0,0,0.81,0,0,0,0,0
 48-58,0,1.72,0,0,0,0,0.57,0,0,0,0,0,0,1.72,0,0,0,0,0,0,0,0
 60-70,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0
 72-82,0,5.89,0,1.96,0,0,0,0.98,0,0,0,0,0,0.98,0,0.98,0,0,0,0,0,0
 84-94,0,16.99,0,0,0,0,1.06,2.12,1.06,0,1.06,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,18.58,2.19,5.46,1.09,1.09,1.09,5.46,5.46,1.09,1.09,1.09,0,6.56,1.09,2.19,0,1.09,0,0,0,0
108-118,0,26.04,0,0,0.77,0,0,3.06,3.83,0.77,0.77,0.77,0,5.36,0,0,0,0.77,0,0,0,0
120,0,27.44,0,1.96,1.96,0,0,0,7.84,0,0,0,0,11.76,0,1.96,0,0,1.96,1.96,0,1.96
