stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,0,85.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,12.26,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,5.26,0,0,0,0,5.26,0,0,0,0,0,0,0,44.69,2.63,0,13.14,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0,59.79,22.03,0,15.73,0,3.15,0,6.29,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,5,130,1,1,0,0,2,0,0,4,0,0,0
 24-34,0,0,0,3.28,0,2.46,0,0,0.82,0,0,0,0,0,2.46,0,0,0.82,26.27,197.83,0,0,0.82,0,0,0,0.82,1.64,0,0.82,0
 36-46,0,0,0,1.61,0,0.81,0,0,0.81,0,0,0,0,0,0.81,0,0,0,7.25,157.11,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,1.15,0,2.3,0,0,1.72,0,0,0,0.57,0,2.87,0,0,0,8.03,104.43,0,0,0.57,0,0,0.57,0,2.87,0,1.15,0
 60-70,0,0,0,0.98,0,1.96,0.98,0,1.96,0,0,0,0,0.98,5.89,0,0.98,0,14.72,72.63,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.98,13.74,0,0,6.87,0,0,0.98,0,0,2.94,0.98,0.98,0.98,7.85,54.97,0,0,0.98,0,0,0,0,1.96,0,1.96,0
 84-94,1.06,0,0,3.19,0,5.31,0,1.06,1.06,1.06,0,0,0,0,6.37,0,0,2.12,3.19,74.34,0,0,0,0,0,0,0,0,0,2.12,0
 96-106,0,0,0,1.09,1.09,7.65,2.19,0,0,0,0,1.09,0,0,2.19,0,0,2.19,9.84,83.06,0,0,1.09,0,0,0,0,0,1.09,4.37,0
108-118,0,0,0,0.77,0,9.19,0,0,5.36,0.77,0,0,0,0,6.13,0,0,1.53,7.66,85.79,0.77,0,1.53,0,0,0,0,0,0,1.53,0.77
120,0,0,0,1.96,0,15.68,0,0,1.96,0,0,0,0,0,0,0,0,0,5.88,115.63,0,0,0,0,0,0,0,0,0,3.92,0
