stage,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,mesenchyme,mural_cell,muscle,neural,notochord,spinal_cord,visceral_smooth_muscle
 14-21,10,0,0,0,0,3,0,0,0,1,0,0
 24-34,2.46,0.82,0,0,0,2.46,0,0.82,2.46,0,1.64,0
 36-46,1.61,0,1.61,0,0,2.42,0,0,0,0,0,0
 48-58,0,0,0,0,0,4.02,0.57,0,0,0,0,0
 60-70,0.98,0,0,0,0,2.94,0,0.98,0,0,0.98,0
 72-82,0,0,0,0.98,0.98,1.96,0,0,1.96,0,0.98,0
 84-94,0,0,0,0,0,4.25,0,0,0,0,0,0
 96-106,0,1.09,0,0,0,1.09,0,0,0,0,0,0
108-118,0,0.77,0,0,0,0.77,0,0,0,0,0,0.77
120,0,0,0,0,0,1.96,0,0,1.96,0,0,0
