stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,288.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,44.69,0,0,0,10.51,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.47,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,1,1,0,0,1,0,9,0,0,0,0,0
 24-34,0,0,1.64,0,3.28,0,0,19.7,0,0,0,0,0,0,0,0,0,2.46,0,0,1.64,316.85,0,0.82,0,0,0,0,0,0,55.82,0,0,0,0,0
 36-46,0,0,0.81,0,8.06,0.81,0.81,72.51,0,0,0.81,0,0,0,0,0,0,7.25,0,0,0.81,1655.65,0,1.61,0,0,1.61,0,0,0,267.48,0,0,0.81,0,0
 48-58,0,0,1.15,0,19.51,0.57,0.57,129.11,0,0,0,0,0,0,0,0.57,0,9.75,0,0,2.87,824.56,0,1.15,0.57,0,0,0,0,0,155.5,0,0,0,0,0
 60-70,0,0,0.98,0.98,32.39,0,0.98,196.3,0,0,0.98,0,0,0,0.98,0,0.98,14.72,0,0,0.98,532.97,0.98,0,0,0,0.98,0,0,0,91.28,0,0.98,0.98,0,0.98
 72-82,0,0,2.94,1.96,50.06,0,0,212.04,1.96,0,0.98,0,0,0.98,0,0,0,24.54,0,1.96,1.96,340.64,0,0,0,0,1.96,0,0,0.98,48.1,0.98,2.94,0,0.98,0
 84-94,0,3.19,3.19,1.06,33.99,0,0,123.2,1.06,0,1.06,0,0,0,0,0,0,14.87,0,0,1.06,217.72,0,0,0,0,0,0,0,0,40.36,0,0,1.06,0,0
 96-106,0,2.19,4.37,0,27.32,0,0,111.47,2.19,0,0,0,0,2.19,1.09,0,0,13.11,1.09,0,0,171.58,0,0,0,0,0,0,0,0,9.84,1.09,0,0,0,1.09
108-118,0,3.06,0,0.77,16.09,0,0,102.64,1.53,0,0,0.77,0.77,0.77,0,1.53,0,5.36,0,0,0,183.83,0,0,0.77,0,0,0,0,0.77,10.72,0.77,0,0.77,0.77,0
120,0,1.96,7.84,1.96,33.32,1.96,0,101.91,9.8,0,0,1.96,0,1.96,1.96,1.96,0,11.76,0,1.96,0,192.06,0,0,0,0,0,0,0,0,15.68,0,1.96,1.96,0,0
