stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,5,3,0,8,0,0,0,2,1,0,0,1,0,0,0,0,8,0,0,11,131,1,3,0,6,2,17,1,0,12,48,0,0,1,0,0
 24-34,0,2.46,8.21,0,0,22.98,0,0.82,0.82,0.82,0.82,0,0,1.64,0,0.82,0,0.82,25.45,0,0,11.49,251.18,0,1.64,1.64,0,2.46,0,0,0,2.46,64.03,0,0,9.03,0,1.64
 36-46,0,0,6.45,0,0,37.06,0.81,0,0.81,8.86,0,0.81,0,0,0,0.81,0,0,24.98,0,0.81,6.45,185.3,1.61,3.22,0.81,0,6.45,0,0,0,0,50.76,0,0,2.42,0,0
 48-58,0,0,3.44,0,0,52.79,0,1.15,1.15,12.62,0,0,0.57,0.57,0.57,1.72,0,1.72,33.28,0.57,0.57,6.89,95.25,1.15,0.57,1.15,0,2.87,0,0,0,0,20.08,0,0,2.87,0,0
 60-70,0,0,1.96,0,0,53,0,0,0.98,11.78,0,0,0.98,0,0,0,0.98,0,27.48,0,0,6.87,67.73,0,0.98,1.96,0,4.91,0,0,0.98,0,4.91,0,1.96,3.93,0,0.98
 72-82,0,0,1.96,0,0,36.32,0,0,1.96,20.61,0,0,1.96,0,0.98,1.96,0,0,53.99,0.98,2.94,3.93,70.68,0,0,1.96,0,3.93,0,0,0,0,8.83,1.96,1.96,2.94,1.96,0.98
 84-94,0,0,5.31,0,0,26.55,0,1.06,0,13.81,2.12,1.06,0,0,2.12,0,0,0,32.92,0,0,3.19,27.61,0,1.06,2.12,0,3.19,0,1.06,0,0,4.25,1.06,0,7.43,1.06,0
 96-106,0,0,7.65,2.19,1.09,25.14,0,0,0,19.67,3.28,0,1.09,0,1.09,1.09,0,0,34.97,0,0,7.65,36.06,0,0,1.09,0,3.28,0,0,0,0,2.19,0,0,5.46,2.19,0
108-118,0,0,5.36,0,0,18.38,0,0,1.53,9.96,1.53,0.77,3.06,0,0,0.77,0.77,0.77,26.04,0.77,2.3,3.83,36.77,0.77,0.77,2.3,0,1.53,0,0.77,0,0,1.53,0.77,0,3.83,0.77,1.53
120,0,0,5.88,1.96,0,7.84,0,0,1.96,9.8,0,1.96,0,0,1.96,0,0,0,9.8,1.96,0,1.96,58.79,0,0,0,0,3.92,0,0,0,0,1.96,0,1.96,0,0,0
