stage,blastomeres,epidermis,eye,glial,gut,immune,lateral.line,liver,mesenchyme,mural.cell,neural,olfactory,otic,periderm,spinal.cord,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,0,0,4.93,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.81,1.61,4.03,0,0,0
 48-58,0,0,0,0,0,0,1.72,0,0,0,2.3,0.57,4.59,0,0,0
 60-70,0,0,0.98,0.98,0,0,7.85,0,0,0,2.94,0.98,11.78,0,0.98,0.98
 72-82,0,0,4.91,0.98,0,1.96,10.8,0,0,0.98,3.93,1.96,27.49,0,0,0.98
 84-94,0,0,1.06,0,0,4.25,9.56,0,1.06,0,6.37,0,26.55,0,0,3.19
 96-106,0,1.09,1.09,0,1.09,8.74,31.69,1.09,1.09,0,1.09,5.46,32.79,0,0,3.28
108-118,0,0,3.06,0,0,7.66,18.38,0,1.53,0,4.6,1.53,16.85,0.77,0,3.83
120,0,0,0,0,0,9.8,15.68,0,0,0,1.96,0,21.56,0,0,5.88
