stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0
 24-34,0,0,0,0,7.39,0.82,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0.82,0,0,0.82,5.75,0,0,0.82,0,0,0,0,0,0.82,0,0,0,0,0
 36-46,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0,0,0,1.61,3.22,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,5.16,0.57,0,0,0,0,0,0,0,0,4.59,0,0,2.87,0.57,0,0,8.03,0,0,1.15,0,0,0.57,0,0,2.3,0,0,0.57,0,0
 60-70,0,0,0,0,0,0,0,9.82,0,0,0,3.93,0,0,0,0,0,22.58,0,0,3.93,0,0,0.98,23.56,0,0.98,3.93,0,0,0.98,0.98,0,0.98,0,0,0.98,0,0
 72-82,0,0,0,0,8.83,1.96,0.98,51.05,0,0.98,0,10.8,2.94,0.98,1.96,0,1.96,34.36,0,0,31.41,0.98,0.98,1.96,126.63,0.98,0.98,3.93,0,0,7.85,0,0,6.87,0.98,1.96,8.83,2.94,0
 84-94,0,0,0,0,7.43,5.31,0,27.61,0,0,2.12,8.5,1.06,2.12,1.06,2.12,0,75.4,0,1.06,14.87,1.06,0,3.19,46.73,0,0,2.12,0,0,10.62,3.19,0,3.19,1.06,1.06,3.19,0,4.25
 96-106,0,0,2.19,0,19.67,18.58,6.56,67.76,0,6.56,1.09,27.32,5.46,0,8.74,2.19,4.37,101.63,9.84,0,40.44,2.19,4.37,9.84,159.56,1.09,5.46,4.37,0,0,27.32,0,1.09,3.28,2.19,1.09,3.28,4.37,0
108-118,0,0,0,0,9.19,9.19,2.3,36.77,2.3,1.53,2.3,16.09,1.53,0.77,2.3,3.06,0.77,86.55,4.6,0,29.11,0.77,3.06,1.53,100.34,1.53,1.53,4.6,0,1.53,14.55,0.77,0,3.83,0.77,0.77,4.6,1.53,0
120,0,0,0,0,11.76,3.92,3.92,19.6,0,1.96,0,13.72,1.96,0,3.92,0,0,50.95,1.96,0,25.48,1.96,0,0,64.67,0,1.96,1.96,0,0,7.84,1.96,0,0,0,1.96,1.96,0,0
