stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,1,0,0,0,0,0,1,25,0,0,0,0,0
 24-34,2.46,0,5.75,0,0,4.1,0,0,0,0.82,0,0,0,0,0,0,0.82,0.82,3.28,0,0,2.46,377.59,0,1.64,0,0,0,0,0,0,130.52,0,0,0.82,0,0.82
 36-46,0,0,1.61,0,0,12.89,0,0,0,0,0,0,0,0,0,0.81,0,0,1.61,0,0,0.81,985.33,0,9.67,0,0,0,3.22,0,0,232.03,0,0,0,0,2.42
 48-58,0,0,4.02,0.57,0,130.25,0.57,0.57,0,22.38,0.57,0.57,0.57,0.57,0.57,0,0.57,1.15,24.1,0,0,5.16,1792.57,0.57,9.75,0.57,0,0,2.3,0.57,0,254.77,0,0,0.57,0,4.59
 60-70,0,0,3.93,0,0,413.22,0.98,0,1.96,38.28,0.98,0.98,0.98,0.98,0,0,0,0,34.35,0,1.96,1.96,3480.48,0.98,6.87,0,0,0,2.94,0,0,423.04,0,0,2.94,0,2.94
 72-82,1.96,0,21.6,9.82,0,825.58,0,4.91,3.93,103.07,5.89,3.93,5.89,0,1.96,0.98,0.98,0.98,99.15,0.98,6.87,3.93,3706.76,0.98,14.72,2.94,0,0.98,6.87,0,0,310.21,2.94,1.96,9.82,2.94,10.8
 84-94,3.19,0,36.11,5.31,0,456.68,2.12,0,2.12,65.85,2.12,0,0,0,2.12,1.06,1.06,0,20.18,1.06,0,4.25,1863.88,0,10.62,2.12,0,0,14.87,2.12,0,176.3,0,1.06,3.19,5.31,4.25
 96-106,1.09,0,34.97,14.21,1.09,396.7,3.28,4.37,2.19,67.76,4.37,0,3.28,2.19,0,1.09,1.09,0,46.99,1.09,1.09,2.19,1764.95,0,19.67,1.09,0,1.09,20.76,1.09,0,81.96,3.28,2.19,1.09,0,5.46
108-118,0,0,20.68,3.83,0.77,262.73,0,0.77,2.3,37.53,4.6,0,1.53,1.53,0.77,0,0,0.77,25.28,0,0.77,1.53,2312.44,0,7.66,2.3,0,0.77,4.6,0,0,69.7,2.3,0,3.06,2.3,0
120,1.96,0,41.16,5.88,0,235.17,0,5.88,3.92,29.4,3.92,0,3.92,1.96,0,1.96,1.96,0,33.32,0,0,9.8,2502.65,0,7.84,0,0,0,13.72,0,0,68.59,0,0,3.92,3.92,1.96
