stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,6.29,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,2,3,1,0,0,3,0,0,0,0,0,0,0,5,0,0,5,28,0,0,0,0,0,3,1,1,16,0,0,2,0,0
 24-34,0,3.28,1.64,5.75,0.82,0.82,4.1,0,0,0.82,0,2.46,0,1.64,55.82,0,0,16.42,83.73,1.64,0,1.64,0,0,0,0,0,23.8,0,0,20.52,0,0
 36-46,0,1.61,0.81,4.03,0.81,1.61,10.47,0,0,0,0.81,0,0,0,119.24,0,0,20.14,66.87,8.86,0,0.81,0,0.81,0.81,0,0,36.26,0,0,17.72,0,0
 48-58,0,0.57,0,0.57,0,2.87,21.23,0,0.57,0,0.57,0.57,0,0,162.39,0,1.72,14.35,28.69,2.87,0,2.87,0,0.57,0,0,0,18.94,0,1.72,5.74,0.57,0.57
 60-70,0,1.96,0,2.94,0,2.94,25.52,0,2.94,0,2.94,0,0,0,333.72,0,7.85,14.72,23.56,5.89,0,2.94,0,0.98,0,0,0,8.83,0,1.96,10.8,0.98,0.98
 72-82,0,0,0,7.85,0,6.87,24.54,0,2.94,1.96,2.94,0.98,0.98,0.98,303.33,0.98,13.74,13.74,23.56,5.89,0.98,2.94,0,1.96,0,0,0,5.89,0.98,10.8,12.76,1.96,0
 84-94,0,3.19,0,16.99,1.06,9.56,18.05,0,3.19,2.12,4.25,2.12,0,0,203.91,0,10.62,10.62,18.05,12.74,0,2.12,0,1.06,0,0,0,2.12,0,11.68,12.74,6.37,0
 96-106,0,3.28,0,2.19,0,1.09,8.74,1.09,2.19,1.09,3.28,0,0,0,151.91,1.09,5.46,3.28,18.58,8.74,0,2.19,0,1.09,0,0,0,1.09,0,2.19,8.74,4.37,0
108-118,0,0.77,0,6.13,0,6.13,7.66,0.77,3.06,3.83,4.6,0,1.53,0,98.04,0,3.83,3.06,10.72,10.72,0,1.53,0,3.83,0,0,0,0,0,0.77,3.83,2.3,0
120,0,3.92,0,3.92,0,1.96,7.84,0,0,1.96,1.96,0,1.96,0,92.11,0,1.96,5.88,11.76,13.72,0,1.96,0,1.96,0,0,0,3.92,0,3.92,5.88,1.96,0
