stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,21,0,0,0,0,1,0,1,23,0,1,0,0
 24-34,0.82,0,0,0.82,0,0,0.82,0,0.82,0,0,0,0,0.82,0,0,122.31,0,1.64,0,0,0,0.82,1.64,34.48,0,2.46,0,0
 36-46,0,0.81,0,7.25,0,0.81,2.42,0,0,0,0,0,0,3.22,0,0,198.19,0,1.61,0,0.81,0,0,0,41.09,0,2.42,0,1.61
 48-58,0,1.15,0,31.56,0.57,0,8.61,0,0,0,0,0.57,0,4.02,0,1.15,201.41,0,0.57,0,0,0,0,0,46.48,0,0.57,0,1.15
 60-70,0,0,0,77.54,0,1.96,6.87,0,0,0,0.98,0,0,10.8,0.98,0.98,208.08,0,0.98,0,0,0,0.98,0,34.35,0,0.98,0.98,0
 72-82,0,0.98,0,109.95,0,0,15.71,0.98,0,0,2.94,0,0,10.8,0,1.96,232.65,0,0,0,0,0,0,0,18.65,0.98,1.96,0,0.98
 84-94,1.06,4.25,0,82.84,0,0,12.74,0,0,0,1.06,0,1.06,9.56,2.12,1.06,134.88,0,0,1.06,1.06,0,0,0,15.93,0,0,0,1.06
 96-106,0,1.09,0,43.71,0,0,17.49,1.09,0,0,2.19,0,0,15.3,0,1.09,86.33,0,3.28,1.09,0,0,0,0,8.74,0,0,3.28,1.09
108-118,0,0,0.77,29.87,0,0.77,11.49,0,0,0.77,4.6,0,0,10.72,0,0.77,100.34,0,0,0,0,0,0,0,6.13,0,2.3,0,1.53
120,0,1.96,0,33.32,0,0,7.84,0,0,1.96,0,0,0,7.84,0,0,80.35,1.96,0,0,0,0,0,0,1.96,0,0,0,1.96
