stage,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,pericytes,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,6,5,0,0,0,0,0,0,0,0,7,0,0,8,0,1,0,0,3,0,6,1,0,1,0,0
 24-34,0,0.82,0.82,0,0,0,0.82,0,0,0,7.39,0,0,4.1,3.28,0,0,0,0,0,0,0.82,0,1.64,0,0
 36-46,0,0.81,0,0,0.81,0,0,0,0,0,18.53,0,1.61,4.83,8.86,0,0,0,0,0,0,0,0,1.61,0,0
 48-58,0,0.57,3.44,0,0.57,0,0,0,0,0,17.21,0,2.87,4.02,5.16,0.57,0.57,0,0,0,0,2.3,0,0.57,0,0
 60-70,0.98,0,18.65,0,0,2.94,0,0,0,0,27.48,0,1.96,1.96,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0.98,18.65,0,0,2.94,0,0,1.96,0,31.41,0,11.78,2.94,5.89,0,0,0.98,0,0,0,0,0.98,1.96,0.98,0
 84-94,0,1.06,13.81,0,0,3.19,0,1.06,0,1.06,23.36,1.06,5.31,1.06,2.12,0,0,0,0,0,0,0,0,1.06,2.12,0
 96-106,0,0,7.65,0,3.28,2.19,1.09,3.28,0,0,36.06,0,16.39,2.19,2.19,0,0,2.19,0,1.09,0,0,0,3.28,5.46,1.09
108-118,0,0.77,3.06,0.77,0,4.6,0,0,0,0,32.17,0,9.96,1.53,6.89,0,0,0.77,0,0,0,0.77,0,5.36,2.3,0.77
120,3.92,1.96,1.96,0,0,1.96,0,0,0,0,31.36,0,7.84,0,7.84,0,0,1.96,0,0,0,0,0,1.96,1.96,0
