stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,glial,gut,immune,lateral.line,mesenchyme,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal.cord,visceral.smooth.muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,6.29,0,0
 14-21,0,1,0,3,1,0,0,13,0,0,0,1,0,10,2,1,5,0,0,13,34,0
 24-34,0,0,0,0,0,0.82,0,6.57,0,0,0,0,0,8.21,0,2.46,0.82,0,0,7.39,24.63,0
 36-46,0,0,0,0,0,0,0,4.83,0,0,0,0,0.81,5.64,0,5.64,0,0,0.81,3.22,10.47,0
 48-58,0,0,0,0,0,0,0.57,7.46,0,0,0.57,0.57,0,6.31,0,2.87,0,0,0,2.3,10.9,0
 60-70,0,0,0,0,0,1.96,0,6.87,0,0,0,0,0,6.87,0,3.93,0.98,0,0,0.98,3.93,0
 72-82,0,1.96,0,0,0,1.96,0,6.87,0.98,0,0.98,0.98,0,1.96,0,7.85,4.91,0,0,0.98,5.89,0
 84-94,0,0,0,0,1.06,0,0,6.37,0,0,2.12,0,0,2.12,0,9.56,7.43,0,0,3.19,4.25,0
 96-106,0,1.09,0,0,0,3.28,0,4.37,1.09,0,3.28,1.09,0,7.65,0,6.56,9.84,0,0,1.09,2.19,0
108-118,0,0,0.77,0,0,1.53,0,2.3,0,0.77,4.6,0,0,1.53,0,9.19,5.36,0.77,0.77,1.53,2.3,0.77
120,0,0,0,0,0,0,0,1.96,0,0,1.96,0,0,1.96,0,3.92,5.88,0,1.96,0,3.92,0
