stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,immune,ionocyte,lateral.line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,0,0,1,0,0,19,0,0,0,0
 24-34,0,1.64,1.64,0,0,4.1,0,0,0,0,0,0.82,0,0,0,3.28,109.17,0.82,8.21,0,0,0.82,0,5.75,61.56,0,0,0,0
 36-46,0,0.81,0,0.81,0,1.61,0.81,0,0,0,0,0,0,0,0,1.61,240.9,0,11.28,0,0,0,0,0,116.02,0,0,0,0
 48-58,0,0,2.3,0,0,10.33,0.57,1.15,2.3,0,0,0,0,0.57,1.15,0,270.84,0,7.46,0,0,0.57,0,0,60.25,0,0.57,0,0
 60-70,0,0.98,0,0,0,19.63,0,0.98,2.94,0,0.98,0,0.98,0,2.94,0,407.33,0,9.82,0,0,0,0,0,54.97,0,0,0,0
 72-82,0,2.94,0,0,0,43.19,0,0,2.94,1.96,0,0,0,0,3.93,0,257.2,0,16.69,1.96,0,0,0,0,31.41,0,0,0,0.98
 84-94,0,0,2.12,0,0,26.55,0,0,6.37,0,1.06,0,0,0,6.37,0,95.58,0,5.31,5.31,0,1.06,0,0,21.24,4.25,0,0,0
 96-106,0,2.19,3.28,0,0,22.95,0,1.09,4.37,4.37,0,0,0,0,2.19,0,100.54,0,13.11,1.09,0,1.09,1.09,0,6.56,7.65,0,1.09,0
108-118,0,1.53,0.77,0,0,23.74,0,0,1.53,2.3,0,0,0,0,0.77,1.53,125.62,0,17.62,2.3,0,0,0,0,4.6,8.43,0,0.77,0
120,0,1.96,5.88,0,1.96,21.56,0,1.96,1.96,0,1.96,0,0,0,3.92,0,99.95,0,9.8,1.96,0,0,0,0,13.72,1.96,0,0,0
