stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,2,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
 24-34,0,4.93,0.82,0.82,0,38.58,0,0,0,0.82,0,0,0,0,0,0,0,2.46,0.82,0,0,0,11.49,0,0,0.82,0,2.46,0,0,1.64,0,0
 36-46,0,5.64,0,0,0,33.03,0,0,0.81,0,0,0,0,0,0,0,0,7.25,0,0.81,0,0.81,29,0,0,0,0.81,5.64,0,0,0,0,0
 48-58,0,1.15,0.57,0,0,64.27,0,0,0,2.87,0,0,0,0,0,0,0,1.15,2.87,0,0.57,0.57,31.56,0,0,1.15,0,6.31,0,0,0,0,0
 60-70,0,1.96,0.98,0,0,228.69,0,0,1.96,27.48,0,0.98,1.96,0,0,0,0,1.96,20.61,0,0,0,50.06,0.98,0,0.98,0,11.78,0,0,0,0,0
 72-82,0,1.96,1.96,1.96,0,384.81,0,0,0.98,146.27,0,0,0.98,0,0.98,0,0,0.98,56.94,0.98,0,2.94,63.81,0,0,2.94,0,1.96,0.98,0,0,0,1.96
 84-94,0,2.12,9.56,3.19,0,309.05,0,0,0,113.64,1.06,0,3.19,0,1.06,0,0,1.06,39.3,0,2.12,1.06,55.23,0,0,7.43,3.19,4.25,0,0,3.19,1.06,1.06
 96-106,0,2.19,7.65,1.09,0,234.96,0,1.09,0,251.35,1.09,0,0,0,0,0,0,3.28,31.69,0,1.09,0,55.74,0,0,5.46,1.09,3.28,0,0,3.28,2.19,0
108-118,0,2.3,1.53,1.53,0.77,173.11,0.77,0,0.77,201.45,0,0,0.77,0.77,0,0.77,0,4.6,22.21,0,0,0,39.83,0,0.77,4.6,0.77,0.77,0,0.77,3.83,1.53,1.53
120,0,0,1.96,1.96,0,117.59,0,0,1.96,215.58,5.88,0,3.92,3.92,0,0,3.92,0,25.48,0,0,0,35.28,0,0,5.88,0,0,0,1.96,0,3.92,1.96
