stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,pgc,presomitic_mesoderm,somites,spinal_cord,vascular_smooth_muscle,vasculature
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,28.32,0,0,0,0,0,0,0
 14-21,1,0,1,1,0,0,0,2,0,0,0,0,0,0,2,0,18,5,1,0,0,1,0,0,48,148,30,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0.82,0,0,0,0,2.46,0,10.67,0.82,0,0.82,0,0,0,0,0,16.42,5.75,0,0.82
 36-46,0,0,0,0,0,0,0.81,0,0,0,0.81,0,0,0.81,14.5,0,13.7,16.11,0,0,0,0,0,0,0,0,2.42,0,0
 48-58,0,0,0,0,2.3,0.57,1.15,0.57,0,0,0,0,0,0,10.9,0,7.46,14.92,0,0,0,0,0,0,0,0,2.87,0,2.3
 60-70,0,0,0,0,3.93,0.98,0,1.96,0,0,0,1.96,0,0,23.56,0,15.7,18.65,0,0,0,0,0,0,0,0,1.96,0.98,4.91
 72-82,0,0,0,0,8.83,0.98,1.96,15.71,0,0,0,10.8,0,0,14.72,0.98,15.71,33.38,0,0,0,0,0.98,0,0,0,0,0,15.71
 84-94,0,0,0,0,9.56,1.06,1.06,7.43,1.06,0,0,4.25,1.06,0,19.12,0,13.81,14.87,0,0,0,0,0,0,0,0,0,0,9.56
 96-106,0,0,2.19,0,8.74,0,1.09,9.84,0,0,0,24.04,1.09,0,13.11,0,16.39,15.3,0,0,0,0,0,0,0,0,0,0,16.39
108-118,0,0,0.77,0,7.66,1.53,0,8.43,0,0,0,24.51,2.3,0,16.85,0.77,9.19,14.55,0,0,0,0,0.77,0.77,0,0,0,0,20.68
120,0,0,0,0,3.92,0,0,7.84,1.96,0,0,31.36,1.96,0,15.68,1.96,7.84,15.68,0,0,1.96,0,0,0,0,0,0,0,27.44
