stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,heart,immune,ionocyte,liver,melanocytes,mesenchyme,muscle,neural,otic,pericytes,periderm,pgc,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,1,0,0,0,0
 24-34,0,0,3.28,0,0,0,0,0,0,0.82,0,0,0,0.82,0,4.1,0,0,0,0,0,0.82,0.82,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,1.61,1.61,0,0.81,0,0,0.81,1.61,0,0,0,2.42,0,0
 48-58,0,0,0,0,0.57,0,0,0,0,1.15,0,0,1.72,1.15,0.57,1.72,0.57,0,0.57,0,0,0,0,0.57,0,0.57
 60-70,0,0,1.96,0,1.96,0,0,0,0,0.98,0,0,2.94,1.96,0,1.96,0,0,1.96,0,0,0,0,0.98,0,0
 72-82,0,0,0.98,0,0,0,1.96,0,0.98,7.85,0,0,1.96,1.96,0,0.98,0,0,3.93,0,0,0,0,0.98,0,0
 84-94,2.12,0,2.12,0,0,0,1.06,7.43,0,15.93,1.06,0,0,2.12,0,1.06,0,1.06,12.74,0,0,0,0,5.31,0,1.06
 96-106,1.09,0,4.37,1.09,0,0,1.09,4.37,0,15.3,1.09,2.19,0,4.37,0,6.56,0,0,31.69,0,0,0,0,6.56,1.09,0
108-118,0,0.77,3.06,0,0,2.3,0.77,9.19,0.77,19.15,1.53,2.3,0,4.6,1.53,7.66,0,0,30.64,0,0,0,0,7.66,0,0
120,0,0,7.84,1.96,1.96,3.92,0,7.84,0,17.64,0,1.96,0,5.88,1.96,9.8,0,0,105.83,0,1.96,0,0,11.76,0,0
