stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,171.31,1923.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0,0,0
  5-6,55.17,815.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,5.26,0,18.4,0,0,0,31.54,0,0,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,205.04,15.77,0,0,89.38,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,0,0,22.03,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,173.08,6.29,0,0,59.79,0,3.15,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,5,14,12,0,12,0,0,0,3,1,1,1,0,1,0,0,0,0,13,0,0,9,140,3,2,2,4,28,1,12,3,1,15,52,0,0,5,0,0
 24-34,0,0,0,2.46,13.13,0,0,41.86,0,0,0.82,8.21,0,0,1.64,0.82,3.28,0,0,0,1.64,21.34,0.82,0,13.95,371.03,1.64,5.75,3.28,0,66.49,0,0,0.82,0,3.28,97.68,0,0,10.67,0,0.82
 36-46,0,0,0,0,2.42,0,0,87.01,0,0.81,2.42,10.47,0,0,0,0,0,1.61,0.81,0,0.81,27.39,0,1.61,6.45,424.59,0,4.03,0.81,0,58.81,0.81,0,0,0,0,115.21,0,0,4.83,0,0.81
 48-58,0,0,0,0,6.31,0,0,146.89,0,0.57,1.15,24.1,0.57,0,1.72,1.15,1.72,0.57,1.72,0.57,3.44,48.2,0,2.87,6.89,440.68,1.15,1.15,2.87,0,20.08,0,0,0.57,0.57,0,104.43,0,0.57,5.16,0,1.72
 60-70,0,0,0,0,7.85,0,0,171.77,0.98,0.98,0.98,28.46,2.94,0,0,2.94,0,3.93,1.96,0,1.96,29.45,0,2.94,2.94,372.98,0,0.98,2.94,0,8.83,0,0,0,0,0,40.24,0,0.98,3.93,0,1.96
 72-82,0,0,0.98,0,10.8,0.98,0,153.14,0,0.98,3.93,51.05,2.94,0,0.98,1.96,1.96,0,0.98,0.98,3.93,49.08,0,2.94,5.89,351.43,0,3.93,0.98,0,7.85,0,0,0.98,0,0,28.47,1.96,1.96,11.78,1.96,1.96
 84-94,0,0,1.06,0,10.62,1.06,0,91.34,0,2.12,1.06,24.43,8.5,0,0,13.81,6.37,4.25,4.25,0,1.06,29.74,1.06,4.25,2.12,167.8,0,2.12,9.56,0,25.49,0,0,1.06,0,0,15.93,0,1.06,8.5,4.25,0
 96-106,0,0,1.09,0,13.11,3.28,0,71.04,0,2.19,1.09,18.58,6.56,0,2.19,14.21,4.37,2.19,2.19,1.09,1.09,33.88,1.09,2.19,4.37,138.79,0,4.37,8.74,0,29.51,0,0,3.28,0,0,7.65,2.19,0,13.11,3.28,1.09
108-118,0,0,0.77,0.77,19.15,0,2.3,59.75,0,4.6,1.53,19.15,3.83,0,0.77,13.02,1.53,4.6,3.83,0.77,1.53,23.74,0.77,3.83,4.6,131.75,1.53,4.6,5.36,0,20.68,0,0,0.77,0,0,5.36,3.06,0.77,9.19,3.06,0
120,0,0,0,0,17.64,1.96,0,50.95,3.92,1.96,1.96,13.72,11.76,0,0,11.76,0,1.96,1.96,0,0,19.6,1.96,3.92,11.76,146.98,3.92,3.92,9.8,0,31.36,0,0,1.96,0,0,7.84,0,1.96,13.72,0,0
