stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,408.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,177.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,13.14,0,0,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,60.46,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,6.29,0,0,0,3.15,0,0,0,0,0,69.23,0,0,0,0,0,0,0,0,0,0,0,119.58,9.44,0,0,62.94,0,6.29,6.29,6.29,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,3,26,5,0,3,0,0,0,1,0,23,0,0,4,0,0,0,0,4,0,0,4,42,0,1,7,3,0,7,42,3,24,98,8,0,0,0,0,0
 24-34,0.82,0,1.64,0.82,12.31,0,0,15.6,0,0,0,5.75,0.82,2.46,0.82,0,3.28,0.82,1.64,0.82,0.82,13.13,2.46,0,4.93,64.85,0.82,5.75,5.75,0,0,27.91,0,1.64,0,7.39,15.6,0,0,4.1,0,0.82
 36-46,0,0,0.81,0,4.03,0,0,7.25,0,0,0.81,1.61,0.81,0,0,0,1.61,0,0.81,0,0.81,13.7,0.81,0.81,2.42,60.43,0.81,3.22,7.25,0,0,19.34,0,0.81,0,0.81,11.28,0,0,0,0,0.81
 48-58,0,0,0,0,5.16,0,0,26.97,0,0.57,0.57,2.87,0.57,0,1.72,1.72,0.57,1.15,0.57,0.57,1.15,22.38,1.15,1.15,1.72,39.02,0,1.72,2.87,0,0,13.77,0,1.15,0,0,9.18,0,0,1.72,0,2.3
 60-70,0,0,0,0,4.91,0,0,30.43,0.98,0.98,2.94,3.93,4.91,0,0,1.96,0,0,0.98,0.98,0,27.48,0.98,0,2.94,53.98,0,2.94,3.93,0,1.96,23.56,0,0,0,0,0.98,0,1.96,0.98,0,0.98
 72-82,0,0,2.94,0,12.76,0,0,52.03,0,0.98,0,6.87,7.85,0.98,0,0,1.96,0,2.94,0.98,0.98,50.06,0.98,3.93,1.96,51.05,0,1.96,0.98,0,0,16.69,0,0.98,0,0,0.98,1.96,0,3.93,0.98,0
 84-94,0,0,1.06,0,23.36,0,1.06,35.05,0,2.12,2.12,5.31,4.25,0,0,3.19,6.37,0,3.19,1.06,0,29.74,2.12,1.06,4.25,31.86,0,2.12,5.31,0,1.06,56.29,0,1.06,0,0,4.25,2.12,1.06,5.31,0,0
 96-106,0,0,1.09,0,18.58,3.28,4.37,21.86,0,3.28,0,9.84,7.65,1.09,0,2.19,7.65,0,3.28,1.09,0,22.95,1.09,1.09,2.19,36.06,0,2.19,7.65,0,0,50.27,0,4.37,0,0,2.19,2.19,0,7.65,2.19,2.19
108-118,0,0,0,0,17.62,0,3.83,22.98,0.77,2.3,1.53,12.26,13.79,0,0,2.3,5.36,0,2.3,2.3,2.3,25.28,0,1.53,0.77,36.77,2.3,3.06,3.83,0,0,45.96,0,0,0.77,0,0.77,2.3,0,3.06,0.77,1.53
120,1.96,0,0,0,15.68,1.96,1.96,21.56,0,3.92,1.96,0,7.84,0,1.96,3.92,0,0,3.92,1.96,0,9.8,7.84,0,1.96,54.87,0,3.92,0,0,0,47.03,0,7.84,0,0,1.96,1.96,0,0,1.96,0
