stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,0,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,10.51,0,0,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.38,2.63,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,6.29,0,0,0,22.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327.28,0,0,0,12.59,0,0,0,0,0,9.44,3.15,0,0,0,0,0
 14-21,0,0,0,2,352,2,0,5,0,0,16,0,2,0,4,0,0,2,0,17,1,0,14,144,3,0,0,2,0,2,1,0,1,5,104,0,0,2,0,0
 24-34,0,0,0,1.64,348.86,0.82,0,4.1,13.13,0.82,12.31,0,4.93,0,0,0.82,0,3.28,0,49.25,2.46,0,19.7,146.93,7.39,0,0.82,0,0.82,4.93,0,1.64,0,1.64,63.21,0,0,2.46,0,0.82
 36-46,0,0,0,0,185.3,0,0,6.45,19.34,4.03,19.34,0,2.42,0,0,0,0.81,0.81,0.81,48.34,2.42,1.61,20.14,90.23,7.25,0,0.81,0,0,12.89,0,1.61,0,0,37.06,0,0,2.42,0,0.81
 48-58,0,0,0,0,141.16,0,0,6.31,30.41,13.77,52.22,1.15,0.57,0,0,1.15,0,1.15,0.57,40.74,0.57,1.15,10.9,44.76,1.72,0,0,0,0,3.44,0,2.3,0,0,29.26,0,0,0.57,0,0.57
 60-70,0,0,0,0,78.52,0,0,7.85,21.59,15.7,101.1,0,0,0,0,0,0,0.98,0,56.93,0,0.98,6.87,20.61,0,0,0.98,0,0,1.96,0,0.98,0,0,17.67,0,0,0,0.98,0
 72-82,0,0,0.98,0,64.79,0,0,15.71,11.78,31.41,223.82,0,0.98,0,0.98,0.98,0,7.85,0,134.49,1.96,1.96,11.78,34.36,0,0.98,1.96,0,1.96,0.98,0,0.98,0,0,14.72,0.98,2.94,0.98,3.93,0
 84-94,0,0,0,0,92.4,1.06,0,13.81,28.68,21.24,122.13,1.06,2.12,0,0,0,1.06,29.74,0,83.9,0,1.06,5.31,11.68,1.06,0,0,0,0,6.37,0,1.06,0,0,8.5,1.06,5.31,2.12,2.12,0
 96-106,0,0,0,0,56.83,0,0,13.11,14.21,17.49,108.19,1.09,5.46,0,0,4.37,1.09,53.55,0,118.03,1.09,3.28,4.37,24.04,1.09,1.09,2.19,0,3.28,2.19,0,1.09,0,0,7.65,0,2.19,5.46,8.74,1.09
108-118,0,0,0,0,65.11,1.53,0.77,5.36,29.87,18.38,82.72,2.3,1.53,0.77,1.53,0.77,0.77,78.89,0.77,129.45,0,1.53,11.49,27.57,0.77,1.53,1.53,0,0.77,2.3,0,0.77,0,0,2.3,0.77,3.06,5.36,4.6,0.77
120,0,0,0,0,23.52,0,0,9.8,1.96,9.8,88.19,3.92,1.96,0,0,1.96,0,47.03,1.96,82.31,1.96,1.96,1.96,15.68,0,1.96,1.96,0,0,1.96,0,0,0,0,3.92,0,3.92,1.96,3.92,0
