stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,21,0,0,0,0,0,1,0,2,20,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,0,0.82,0,0,0,0.82,0,0,0,0,0,0,0,0,3.28,0,0,3.28,206.03,0,0,0.82,0,0,1.64,0,0,90.29,0,0,4.1,0,0
 36-46,0,0,0,0.81,1.61,0,0,12.09,0,0.81,0,6.45,0,0,0.81,0,0.81,0.81,0,0.81,5.64,0,0,0.81,572.03,0,2.42,0.81,0,0,1.61,0,0,150.66,0,0,2.42,0,0
 48-58,0,0,0,0,1.15,0.57,0,57.38,0,1.15,1.15,54.51,0,0,0.57,0,0,0.57,0,0,13.2,0,0,1.15,778.08,1.15,0.57,0.57,0.57,0,6.31,0,0,149.19,0,0,7.46,0,0.57
 60-70,0,0,0,0,5.89,0,0,246.36,0,0,0,122.69,0.98,0,0,0,0.98,0.98,0.98,0,25.52,0.98,0,1.96,1540.99,0,3.93,0,0,0,4.91,0,0,191.4,0,0,5.89,1.96,0.98
 72-82,0,0,0,0,6.87,2.94,0,337.69,0,0,1.96,192.41,0.98,0,1.96,0.98,0,1.96,0,0,44.17,0,0.98,0.98,1713,0,1.96,4.91,0,0,0.98,0,0,116.82,0.98,0.98,9.82,0,1.96
 84-94,0,0,1.06,0,13.81,1.06,0,268.7,1.06,1.06,0,109.39,2.12,1.06,3.19,0,4.25,2.12,0,0,25.49,0,0,0,897.42,0,2.12,6.37,0,0,9.56,0,0,67.97,0,0,7.43,4.25,0
 96-106,0,0,0,0,18.58,2.19,0,203.27,0,1.09,2.19,112.56,0,0,0,0,1.09,4.37,2.19,1.09,29.51,0,0,2.19,801.06,0,9.84,9.84,0,1.09,8.74,0,0,38.25,0,1.09,10.93,0,0
108-118,0,0,0.77,0,5.36,3.06,0.77,147.06,0.77,0,0.77,77.36,1.53,0,0.77,0,0,2.3,0,0.77,16.85,0.77,0,1.53,736.09,0,5.36,4.6,0,0,1.53,0,0,18.38,0,0,8.43,0.77,1.53
120,0,0,1.96,0,9.8,7.84,1.96,133.27,0,1.96,0,111.71,1.96,0,1.96,0,1.96,5.88,0,0,19.6,0,0,1.96,1058.28,0,3.92,5.88,0,1.96,1.96,1.96,0,29.4,0,0,17.64,0,0
