stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
 14-21,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,4,2,0,0,1,0,0,1,0,1,18,40,20,0,0,0,0
 24-34,0,0,0,5.75,8.21,0.82,0.82,0.82,0,0.82,0,0,0.82,0,0,8.21,0,0,13.95,32.01,3.28,1.64,0,0,0,1.64,0,0,2.46,10.67,50.07,34.48,0,0.82,0,0
 36-46,0,0,0,11.28,16.92,0,0,1.61,0,0.81,0,0,0,0,0,8.06,0,0,12.09,49.15,0.81,0.81,0,0,0,2.42,0,0,0.81,9.67,2.42,36.26,0,0,0,0
 48-58,0,1.72,0,76.32,23.53,0,0,5.16,0,1.15,0,0,0.57,0.57,1.15,13.2,0,0,6.31,48.2,1.15,0.57,0,0.57,0,1.72,0,0,0,9.18,0,21.8,0,0.57,0,1.15
 60-70,0,0,0,328.81,31.41,0.98,0,1.96,0,0.98,0,0,0,0,0,27.48,0,0,5.89,49.08,0,2.94,0,0,0,3.93,0,0,0,10.8,0,10.8,0,0.98,0,0
 72-82,1.96,3.93,0.98,381.87,23.56,0,0.98,7.85,0.98,0.98,0,0,0,0.98,0,33.38,0,0.98,6.87,62.83,0,0.98,0.98,0.98,0,0,0,0,2.94,4.91,0,10.8,0,0.98,0.98,1.96
 84-94,2.12,2.12,1.06,251.7,25.49,1.06,0,7.43,0,1.06,2.12,2.12,0,1.06,0,31.86,0,0,7.43,33.99,0,0,2.12,0,0,3.19,0,0,0,8.5,0,3.19,0,0,2.12,0
 96-106,3.28,2.19,1.09,214.2,28.41,0,0,12.02,1.09,3.28,0,1.09,0,1.09,0,15.3,0,1.09,2.19,34.97,0,1.09,2.19,0,0,3.28,0,0,2.19,14.21,0,1.09,0,1.09,0,0
108-118,2.3,0.77,0,155.49,29.11,0,0.77,6.13,0.77,0,2.3,0,0,0,0.77,9.19,1.53,0,13.79,36.77,0,0,0.77,0,0,1.53,0,0,0.77,15.32,0,2.3,0.77,0,0,0.77
120,0,5.88,1.96,113.67,33.32,1.96,0,1.96,3.92,1.96,0,0,0,0,0,3.92,1.96,0,13.72,39.2,0,1.96,0,0,1.96,0,0,1.96,0,7.84,0,1.96,0,0,1.96,0
