stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,935.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,55.17,410.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,23.66,0,0,0,0,0,0,0,0,0,0,0,26.29,2.63,0,0,7.89,0,13.14,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,18.88,3.15,0,0,6.29,0,9.44,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,1,14,2,0,0,0,0,0,0,1,2,0,0,5,0,0,17,0,0,0,0,2,4,2,3,1,0,0,10,1,0,8,4,0,0,5,0,0
 24-34,0,0,1.64,0,16.42,0,0,1.64,0,2.46,0.82,1.64,2.46,1.64,2.46,4.1,9.85,0,2.46,7.39,0,13.95,1.64,0,7.39,36.12,3.28,14.78,4.93,0,0,30.37,1.64,0.82,1.64,9.85,0,0,7.39,0,0
 36-46,0,0,0,0,6.45,0,0,5.64,0,0,3.22,3.22,0,0.81,1.61,1.61,1.61,0,2.42,0.81,0,15.31,4.03,0,7.25,41.89,4.03,14.5,0.81,0,0,31.42,1.61,0,0,4.83,0,0.81,4.03,0,2.42
 48-58,0,0,0.57,0,2.87,0,0,10.33,0,1.15,2.3,10.9,2.3,0,0.57,2.3,2.3,0.57,5.16,0.57,0.57,32.13,2.87,0.57,6.89,41.89,1.15,6.89,1.72,0,0,14.92,0,0,0,13.77,0,0,5.74,0,2.87
 60-70,0,0,0.98,0,12.76,4.91,0,34.35,0,1.96,0.98,27.48,7.85,0.98,1.96,2.94,0,0,5.89,0.98,0.98,87.36,0.98,0.98,5.89,46.13,0.98,3.93,2.94,0,0.98,39.26,1.96,0,0,12.76,2.94,0.98,6.87,0,1.96
 72-82,0,0,11.78,0,17.67,3.93,0,50.06,0,0.98,2.94,42.21,33.38,0,1.96,6.87,1.96,1.96,9.82,1.96,0,118.78,2.94,3.93,6.87,99.15,0.98,6.87,9.82,0,0,13.74,0.98,0,0,4.91,19.63,0.98,11.78,0.98,2.94
 84-94,0,0,7.43,1.06,55.23,7.43,0,43.54,1.06,8.5,5.31,24.43,92.4,1.06,1.06,25.49,10.62,1.06,6.37,2.12,2.12,93.46,4.25,1.06,4.25,53.1,3.19,6.37,13.81,0,0,65.85,0,0,0,4.25,74.34,1.06,9.56,3.19,2.12
 96-106,0,0,3.28,0,41.53,16.39,0,21.86,0,2.19,4.37,19.67,85.24,0,3.28,18.58,12.02,1.09,15.3,3.28,0,64.48,3.28,3.28,1.09,52.46,1.09,12.02,5.46,0,0,34.97,0,0,0,2.19,85.24,0,13.11,3.28,2.19
108-118,0,0,5.36,0.77,49.79,4.6,1.53,17.62,0.77,2.3,0.77,13.79,80.43,0,0,11.49,4.6,5.36,5.36,3.83,0.77,47.49,4.6,1.53,1.53,52.09,4.6,14.55,5.36,0,0,26.81,3.83,0,0,1.53,83.49,0.77,10.72,2.3,0
120,1.96,0,1.96,0,33.32,3.92,0,17.64,0,5.88,0,5.88,47.03,0,3.92,7.84,3.92,0,1.96,3.92,0,17.64,5.88,0,3.92,48.99,1.96,3.92,0,0,0,17.64,1.96,0,0,3.92,31.36,0,7.84,0,0
