stage,epidermis,eye,glial,gut,immune,ionocyte,melanocytes,mesenchyme,mural_cell,neural,periderm,spinal_cord,vascular_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,5.26,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,0,0.82,0
 36-46,0,0.81,0,0,0,0,0,0,0,0.81,0,0,0
 48-58,0,0.57,0,0,0,0,0.57,0,0,1.15,0,0,0
 60-70,0,2.94,0,0,0,0.98,0,1.96,0,4.91,0,0.98,0
 72-82,0,0.98,0.98,0,0,0,0,0,0,0.98,0,0,0
 84-94,0,0,0,0,1.06,0,0,1.06,1.06,0,0,0,1.06
 96-106,0,0,0,0,0,0,0,1.09,0,0,1.09,1.09,0
108-118,0.77,0,0,1.53,0.77,0,0,0,0,4.6,0,0,0
120,0,0,0,0,5.88,0,0,0,0,1.96,1.96,0,0
