stage,axial,epidermis,erythrocytes,eye,glial,hatching_gland,heart,immune,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,0,0.82,0.82,0,0,0,0,0,4.1,0,0,0,0,0
 36-46,0,0,2.42,2.42,0.81,0,0,0,0,0,2.42,0,0,3.22,0,0.81,0,0,0,4.83,2.42,0,0,0,0
 48-58,0,0,2.87,1.72,0.57,0.57,0.57,0,0,0,0,0,0,3.44,0,0,0,0,0,0,0,0,0.57,0,0
 60-70,0,0,4.91,1.96,1.96,0,0,0,0.98,0,5.89,0,0.98,21.59,0,0,0,0,0,2.94,2.94,0,0,0,0
 72-82,0,0,17.67,4.91,1.96,0,0,0.98,0,0.98,2.94,0.98,0.98,10.8,0,2.94,0,0,0,1.96,0.98,0,0,0,0
 84-94,0,0,19.12,3.19,2.12,0,0,0,0,0,1.06,0,0,5.31,1.06,0,0,0,0,8.5,2.12,0,0,0,1.06
 96-106,0,1.09,8.74,4.37,3.28,0,0,0,1.09,0,1.09,0,0,4.37,0,1.09,0,0,0,7.65,0,1.09,0,0,0
108-118,0,0.77,5.36,3.06,0,0,0,0,1.53,0,1.53,0,0,10.72,0,0.77,0.77,0,0.77,4.6,0.77,0,0,0,0.77
120,0,0,21.56,0,0,0,0,0,0,0,0,0,0,5.88,0,0,1.96,0,0,0,0,0,0,0,0
