stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,liver,melanocytes,mesenchyme,muscle,neural,otic,presomitic.mesoderm,taste,xanthophores
  3-4,13.18,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,116.46,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,15.77,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0.82,0,0,1.64,0,0,0,0
 48-58,0,0,0,0.57,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0
 72-82,0,0,1.96,0,0,0.98,0.98,0.98,0,0,0,0.98,0,4.91,0,0,0.98,0.98
 84-94,0,0,3.19,0,0,0,0,0,0,0,0,0,0,0,1.06,0,0,0
 96-106,0,0,2.19,0,0,3.28,0,0,0,1.09,0,0,0,0,7.65,0,0,0
108-118,0,0,7.66,0.77,0.77,3.06,0,0,0.77,0,0,1.53,0.77,3.06,6.89,0,0,0
120,0,0,1.96,0,0,0,0,0,3.92,0,0,0,1.96,0,7.84,0,0,0
