stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,65.89,672.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,324.87,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,13.14,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.15,0,0,0,26.29,0,2.63,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,12.59,0,0,28.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182.52,6.29,0,0,56.65,0,0,3.15,0,15.73,0,0,0,0,0,0,0
 14-21,0,0,0,0,8,3,1,1,0,2,1,0,0,0,0,0,0,0,10,0,0,5,39,3,1,0,1,0,5,0,4,1,7,16,0,0,0,0,1
 24-34,0,0,0,0,5.75,0,8.21,0,0.82,0.82,0,0,0,0.82,0,0,0.82,0,10.67,0,0,5.75,40.22,0,0.82,0.82,0,0.82,15.6,0,0,0.82,2.46,6.57,0,0,0.82,0,1.64
 36-46,0,0,0,0,0.81,0,5.64,2.42,1.61,4.03,0,0,0,0,0,0,0,0.81,14.5,0,0,7.25,50.76,0,0,0,0,0,25.78,0,0,0,0,7.25,0,0,0,0,0
 48-58,0,0,0,0,1.72,0,2.87,0.57,1.72,2.87,0.57,0,0,0,0,0,0,0,13.2,0,0,2.3,9.18,0,0.57,2.3,0,0,13.2,0,0,0.57,0,5.16,0,0,1.15,0,0.57
 60-70,0,0,0,0,0.98,0,4.91,1.96,0.98,3.93,0.98,0.98,0,0,0.98,0,0,0,14.72,0,1.96,0.98,5.89,0,0,0.98,0,0,30.43,0,0,0.98,0,0.98,0,0,0,0,0.98
 72-82,0,0,0.98,0,0.98,0,3.93,0,0.98,0.98,3.93,0.98,0,1.96,0,0.98,0,0.98,29.45,0,1.96,3.93,8.83,0,0,1.96,0,0,37.3,0,0,0,0,2.94,0,0,1.96,0.98,0
 84-94,0,0,1.06,0,7.43,1.06,3.19,4.25,3.19,6.37,4.25,2.12,2.12,3.19,1.06,1.06,0,1.06,10.62,2.12,1.06,6.37,7.43,0,2.12,2.12,0,1.06,97.71,0,0,0,0,0,0,0,0,0,1.06
 96-106,0,0,0,0,7.65,1.09,2.19,2.19,0,5.46,3.28,1.09,0,0,1.09,0,0,0,16.39,0,3.28,1.09,6.56,0,0,0,0,2.19,64.48,0,0,0,0,2.19,2.19,1.09,3.28,0,0
108-118,0,0,0,0,12.26,0.77,3.06,9.96,0.77,3.06,6.89,0.77,3.83,3.06,1.53,0.77,0,0.77,14.55,1.53,1.53,2.3,9.96,0,0.77,1.53,0,0,71.23,0,0,0,0,0,1.53,0,3.83,0.77,2.3
120,0,0,0,0,13.72,0,5.88,3.92,0,5.88,5.88,0,9.8,1.96,0,0,1.96,0,5.88,0,0,1.96,5.88,0,0,1.96,0,1.96,60.75,0,0,0,0,0,0,0,0,0,0
