stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.14,0,0,0,0,0,0,0,0
  5-6,0,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,183.89,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,28.92,0,0,0,15.77,0,10.51,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,4,1,0,4,1,0,0,0,0
 24-34,0,0,0,1.64,0,0,0,0.82,0,0,0.82,0,0,0,0.82,0,0,0,10.67,0,0,0.82,0,0,0,0,0,0,0,0,1.64,0,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0.81,0,0,0,0,0,0,0,0,0,0.81,0,0
 48-58,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0.57,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0
 60-70,0,0,0,0.98,0,0.98,0,0,0,0,0,0,0,0,0.98,0,0,0,1.96,0.98,0,1.96,0,0,0,0,0,0,0,0.98,0,0,0
 72-82,0,0,0,2.94,0,1.96,0,0,0,0,0,0,0,0,5.89,0,0,0.98,4.91,0,0,0.98,0,0.98,0,0,0,0,0,0.98,0,0,0
 84-94,0,0,0,13.81,0,1.06,0,0,13.81,0,0,1.06,1.06,2.12,1.06,0,0,0,3.19,0,0,0,0,1.06,1.06,0,0,0,0,9.56,0,0,0
 96-106,0,0,1.09,16.39,1.09,6.56,0,1.09,20.76,0,0,0,1.09,0,7.65,0,1.09,0,8.74,0,0,2.19,0,1.09,0,0,0,0,1.09,6.56,0,0,1.09
108-118,0,0,0.77,19.92,0,2.3,0.77,0.77,39.06,0,0,0,1.53,0.77,0.77,0.77,0,0,2.3,0,0,0.77,0,0.77,0.77,0,0,0,0,7.66,0,0,0
120,0,0,0,13.72,0,0,0,0,21.56,0,0,1.96,1.96,0,7.84,0,0,0,1.96,1.96,0,0,0,1.96,0,0,0,0,0,1.96,0,1.96,0
