stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature
  3-4,250.38,4994.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118.6,0,0,0,0,0,0,0,0
  5-6,226.8,3377.43,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,36.78,12.26,0,0,6.13,24.52,0,0,0,0,0,0,0,0
  7-9,31.54,26.29,0,44.69,0,0,102.52,0,0,0,0,0,21.03,0,0,0,0,0,0,0,0,0,846.45,13.14,0,0,241.84,2.63,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,0,0,3.15,44.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261.2,0,0,0,69.23,0,3.15,0,3.15,0,0,0,0,0
 14-21,0,0,0,4,36,0,20,0,0,0,7,1,0,0,0,3,0,0,0,15,0,10,237,2,5,2,8,7,1,24,4,1,43,92,0,1
 24-34,0,0,0,0,4.93,0,18.06,0,0,0,2.46,0.82,0,0.82,0,2.46,0.82,0,0,7.39,0,2.46,110.82,0,3.28,3.28,0,4.1,0,0,0.82,0,0,22.16,0,1.64
 36-46,0,0,0,0,2.42,0,12.89,0,0.81,0,3.22,0,0,0,0,0,0,0,0,5.64,1.61,3.22,41.09,0,2.42,1.61,0,5.64,0,0,1.61,0,0,13.7,0,0
 48-58,0,0,0,0,1.15,0,6.31,0,0,0,2.87,0,0.57,0,0,0,0,0,0,6.89,0,0,8.61,0,1.72,0.57,0,2.87,0,0,0,0,0,1.72,0,0.57
 60-70,0,0,0,0,0.98,0,6.87,0,0,0.98,2.94,0.98,0,0.98,0,0,0,0,0,7.85,0,2.94,8.83,0,1.96,0.98,0,3.93,0,0,0,0,0,1.96,0,0
 72-82,0,0,0.98,0,2.94,0.98,0.98,0,0.98,0,2.94,0,0,0,0.98,0.98,0,0.98,0,7.85,0,0.98,10.8,0,9.82,0.98,0,2.94,0,0,0,0,0,0.98,0,1.96
 84-94,0,0,0,0,2.12,0,6.37,0,1.06,0,6.37,1.06,0,0,2.12,0,0,0,0,10.62,0,0,10.62,0,3.19,0,0,7.43,0,0,2.12,0,0,0,0,0
 96-106,0,0,0,0,1.09,1.09,4.37,0,0,0,8.74,0,0,1.09,2.19,0,0,0,0,6.56,1.09,1.09,4.37,0,7.65,2.19,0,5.46,0,0,0,0,0,1.09,1.09,0
108-118,0,0,0.77,0,2.3,0,3.83,0.77,0.77,0.77,8.43,0,0,0,2.3,2.3,0.77,0.77,0.77,8.43,0,0.77,11.49,3.06,4.6,1.53,0,7.66,0,0,0,0,0,0,1.53,0.77
120,0,0,0,0,5.88,0,0,0,1.96,0,1.96,1.96,0,0,0,0,0,0,1.96,3.92,0,0,1.96,0,1.96,1.96,0,3.92,0,0,0,0,0,0,0,0
