stage,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,hatching_gland,heart,immune,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,171.63,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,13.14,0,0,2.63,0,0,0,0,0,0,0,0,0,92,7.89,0,0,18.4,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,3.15,0,0,6.29,0,0,0,0,0,0,28.32,0,0,0,12.59,0,0,3.15,0,0,0,0,0
 14-21,0,3,1,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,2,0,4,0,0,0,0
 24-34,0,0,0,3.28,0.82,0.82,0,0,0,0.82,1.64,0,0.82,30.37,0,0,0.82,0,0,0,0,1.64,0,0,0.82,0
 36-46,0,1.61,0,8.06,0,0.81,0,0,0,0,0.81,0,0,19.34,0,1.61,0,0,0,0,0,1.61,0,0,0,0
 48-58,0,0,0,5.16,0,1.72,0,0,0,0,1.15,0,0,14.35,0,0,1.72,0,0.57,0,0,3.44,0,0,0,0.57
 60-70,0,0,0,7.85,0,0.98,0,0,0,0,4.91,0,0,9.82,0,0,0,0,2.94,0,0,2.94,0,0,0,0
 72-82,0,0,0,2.94,0,0,0,0,0.98,0,3.93,0.98,0,3.93,0,0,0,0,0,0,0,0.98,0,0.98,0,0
 84-94,0,0,0,2.12,0,0,0,1.06,0,0,0,0,0,4.25,0,0,0,0,0,0,0,0,0,0,1.06,0
 96-106,0,1.09,0,2.19,0,0,0,0,0,0,1.09,0,0,2.19,0,0,1.09,0,1.09,0,0,0,0,0,0,0
108-118,0,0,0,3.83,0,0,0,0,0,0,2.3,0,0,3.06,0.77,0,0,0,1.53,0,0,0,0.77,0,0,0
120,0,0,0,1.96,0,1.96,0,0,0,0,3.92,0,0,9.8,0,0,0,0,0,0,0,0,0,0,0,0
