stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,immune,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,spinal_cord,vasculature
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0
 14-21,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,1,7,2,0,0,0,1,1,0,4,0
 24-34,0,0,0,3.28,0.82,0,0.82,0,0.82,0.82,0,0,0,0.82,0,0,11.49,0,0,0,0,0,0,0,4.1,0
 36-46,0,0,0,4.83,0,0,0,0,0.81,0,0,0,0,0,0,0,3.22,0,4.03,0.81,0,0,0,0.81,0,0
 48-58,0,0,0,0.57,0,0,1.15,0,0.57,0,0,0,0,1.72,0,0.57,2.87,0,1.72,0,0,0.57,0,0,1.72,0
 60-70,0,0,0,0.98,0,0,1.96,0,0,0.98,0,0.98,0,7.85,0,0,3.93,0,0.98,0,0,0,0,0,0,0
 72-82,0,1.96,0,0,0,0,1.96,0,0,0,0,0,0.98,6.87,0,0,5.89,0,0,0,0,1.96,0,0,0,0
 84-94,0,1.06,0,0,0,0,1.06,0,1.06,3.19,0,0,0,2.12,1.06,0,4.25,0,1.06,0,0,1.06,0,0,1.06,0
 96-106,0,0,0,1.09,0,0,0,0,1.09,1.09,1.09,0,1.09,3.28,0,0,3.28,0,2.19,1.09,0,0,0,0,0,0
108-118,0,0.77,0,1.53,0,0.77,1.53,0.77,0,3.83,0.77,0,1.53,1.53,0,0.77,7.66,0,0,1.53,0,0,0,0,0,0.77
120,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,5.88,0,0,0,0,0,0,0,0,0
