stage,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,mesenchyme,mural.cell,muscle,neural,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,10.51,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,15.73,0,9.44,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
 24-34,0,0.82,0.82,0,2.46,0,0,0,0,0,6.57,0,2.46,0,0.82,0.82,1.64,0,0,0,0,0,0,3.28,0,0,1.64,0,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,3.22,0.81,9.67,0,0.81,4.03,0,0,0,0,0,0,0,8.06,0,0,1.61,0,0
 48-58,0,0,0.57,0,1.72,0,0,0,0,3.44,7.46,1.15,12.62,0,0.57,1.15,0,0,0,0,0,0,0,9.75,0,0,1.72,0,0
 60-70,0,0,0,0,0,0,0,0.98,0,0,23.56,1.96,21.59,0.98,2.94,3.93,2.94,0,0,0,0,0.98,0,2.94,0,0.98,5.89,0,0.98
 72-82,0,0,0,0,0.98,0.98,0.98,0,0,0.98,30.43,2.94,49.08,1.96,0,2.94,0.98,0,0,0,0,0,0,3.93,0,1.96,12.76,0.98,0
 84-94,0,0,0,0,2.12,0,0,1.06,0,0,37.17,4.25,38.23,2.12,0,6.37,0,0,0,1.06,0,0,0,3.19,1.06,2.12,9.56,0,0
 96-106,0,1.09,0,0,2.19,0,0,0,0,2.19,42.62,2.19,53.55,0,1.09,1.09,2.19,0,2.19,0,0,1.09,0,2.19,0,1.09,19.67,0,0
108-118,0,0,0.77,0.77,3.83,0.77,0,0.77,0,0,41.36,11.49,40.6,2.3,1.53,4.6,0.77,0,0,0.77,0,3.06,0,0.77,0,2.3,14.55,0.77,0.77
120,0,0,0,0,3.92,0,0,0,0,3.92,64.67,0,39.2,1.96,3.92,5.88,1.96,0,0,0,0,0,0,1.96,0,1.96,21.56,0,3.92
