stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,25.18,3.15,0,0,78.67,0,0,0,0,0,0,9.44,0,0,0,0,0,0
 14-21,0,0,2,168,0,0,2,0,0,1,0,0,0,0,0,0,0,10,2,0,8,17,4,0,0,0,0,0,0,20,0,1,25,1,0,0,0,0,0
 24-34,0,0,0,110.82,0,0,0,0.82,0,0,0,4.93,0,0,0,0,0,77.98,1.64,0,43.51,18.06,0.82,0,0,0,0,0.82,0,0,0.82,0,5.75,3.28,0,0,0,0,0
 36-46,0,0,0,84.6,0,0,4.83,0.81,6.45,3.22,0,16.92,0,0,0,0,0,262.65,0.81,5.64,55.59,41.89,0,1.61,0,0,0,0.81,0,0,6.45,0,0.81,4.03,0,0.81,0,0,0.81
 48-58,0,0,0,41.31,0,0,9.18,1.72,5.16,1.15,0,13.77,0,0,0,0,0,325.35,0,10.9,51.07,49.92,0,0.57,0,0,4.59,5.16,0,0,12.05,0,0,1.72,0,2.87,1.15,0,0
 60-70,0,0,0,21.59,0,0,9.82,1.96,6.87,8.83,0.98,12.76,0,0,0,0,0,503.52,0.98,29.45,34.35,61.84,0,0,0,0,6.87,1.96,0,0,14.72,0,0,2.94,0,24.54,2.94,5.89,0
 72-82,0,0,0,22.58,0.98,0,36.32,0,4.91,19.63,0.98,13.74,0,0,1.96,0,0,587.03,0,53.99,53.99,71.66,0,0.98,0,0,9.82,1.96,0,0,24.54,0,0,2.94,0,37.3,2.94,36.32,0
 84-94,0,0,0,41.42,0,0,43.54,3.19,1.06,9.56,1.06,11.68,1.06,1.06,1.06,0,0,391.89,0,47.79,28.68,35.05,0,1.06,1.06,0,9.56,2.12,1.06,0,42.48,0,0,3.19,0,37.17,2.12,18.05,0
 96-106,0,0,0,30.6,1.09,0,22.95,0,4.37,15.3,0,16.39,2.19,0,0,0,4.37,399.98,0,43.71,29.51,56.83,1.09,0,2.19,0,19.67,1.09,0,0,30.6,0,0,2.19,0,42.62,4.37,37.16,0
108-118,0,0,0,14.55,0.77,1.53,9.19,3.83,3.06,10.72,0.77,4.6,0.77,2.3,0,0,0,323.24,0,42.13,23.74,44.43,0.77,1.53,0.77,0,9.19,0,0,0,14.55,0,0,1.53,0.77,19.92,3.06,28.34,0
120,0,0,0,9.8,0,0,7.84,1.96,0,15.68,0,5.88,0,1.96,0,1.96,0,274.37,0,25.48,13.72,47.03,0,0,0,0,7.84,1.96,0,0,15.68,0,0,1.96,0,27.44,0,39.2,0
