stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,6.13,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,15.77,10.51,0,13.14,0,0,2.63,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,28.92,65.72,0,325.96,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,47.2,0,0,9.44,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,66.09,182.52,0,616.81,0,0,18.88,25.18,0,47.2,0,0,0,0,0
 14-21,0,1,5,22,14,10,0,0,2,0,0,5,0,0,1,0,0,0,47,0,0,116,40,16,0,4,0,3,296,2,56,1308,11,0,0,0,0
 24-34,0,0,1.64,6.57,9.03,0.82,1.64,0,5.75,0.82,0.82,0,0,0,0,0,0,0.82,62.39,0,0,146.93,21.34,1.64,0,0,0,0,1.64,0,10.67,256.93,8.21,0,0,0.82,0
 36-46,0,0,0,0,0,0,2.42,0.81,5.64,0.81,0.81,0.81,0,0,0,0,0,0,62.04,0,0,50.76,10.47,0,0.81,0,0,0.81,0,0,0.81,0.81,7.25,0,0,0,0
 48-58,0,0,0,0,0,0,1.15,0.57,6.31,0,0.57,0.57,0,0.57,0,0,0,0,50.49,0,0,31.56,12.62,0,0,0,0,0.57,0,0.57,0,0,4.59,0,0,0.57,0
 60-70,0,0,0,0,0,0,2.94,0,3.93,0,0.98,1.96,0,0,0.98,0,0,0,49.08,0,0,14.72,10.8,0.98,0,0,0.98,0,0,0,0,0,2.94,0,0,0,0
 72-82,0,0,0.98,0,4.91,0,11.78,0.98,7.85,0.98,4.91,8.83,0,0.98,0,0,0,0,66.75,0,0,16.69,6.87,0,0,0,0,0.98,0,0,0,0,0,1.96,0.98,0.98,0
 84-94,0,0,0,0,6.37,0,6.37,1.06,13.81,0,0,6.37,0,3.19,0,0,0,0,46.73,0,0,18.05,7.43,0,0,0,0,0,0,0,0,0,1.06,0,0,0,1.06
 96-106,0,0,1.09,0,7.65,1.09,12.02,0,37.16,1.09,2.19,8.74,0,1.09,0,1.09,0,1.09,69.94,2.19,0,20.76,7.65,0,0,0,0,1.09,0,0,0,0,1.09,1.09,0,0,0
108-118,0,0,0,0,8.43,0,4.6,0,13.02,0,0,6.13,0,0,0,0,0.77,0,25.28,1.53,0.77,9.96,5.36,0,0,0,0,0.77,0,0,0,0,0,0,0.77,1.53,0
120,0,0,0,0,1.96,0,5.88,1.96,9.8,0,1.96,7.84,0,0,0,0,0,0,35.28,0,0,17.64,3.92,5.88,0,0,0,0,0,0,0,0,0,0,0,0,0
