stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,31,5,0,0,0,0,0
 24-34,0,0,1.64,2.46,0.82,0,0,0,0,0,0.82,0,0,0,1.64,0,0,2.46,0,2.46,0,0,0.82,9.85,0,5.75,0,0,263.49,23.8,0.82,0,0,0,0
 36-46,0,0,0,1.61,0,0,3.22,0.81,0,0.81,2.42,0,0,0.81,0.81,0,0.81,2.42,0,1.61,4.03,0,0,13.7,0.81,10.47,0,0,304.54,20.95,2.42,0,0,0,0
 48-58,0,0,0,7.46,0,0,2.87,4.02,0,0,3.44,0,0.57,0,0.57,0,1.15,0.57,0.57,3.44,0,0,0,15.49,0,10.33,0,0,196.82,13.77,4.02,0,0,0.57,0.57
 60-70,0,0,1.96,13.74,0,0,7.85,3.93,0,0.98,18.65,0,0,0,3.93,0,2.94,4.91,0,1.96,0,0.98,0,11.78,0,9.82,0,0,236.55,20.61,0.98,0,0,0.98,0
 72-82,0,0,1.96,29.45,0,0.98,5.89,3.93,0,0,30.43,0,0,0,3.93,0,2.94,10.8,0,1.96,0.98,0,0.98,11.78,0,16.69,0,0,249.34,12.76,0.98,0.98,0,0,0.98
 84-94,0,0,3.19,31.86,0,1.06,3.19,11.68,0,4.25,60.54,1.06,0,0,10.62,0,2.12,24.43,0,5.31,5.31,0,1.06,7.43,0,49.92,0,0,550.14,32.92,0,0,0,1.06,0
 96-106,0,1.09,4.37,87.43,3.28,0,7.65,10.93,0,5.46,54.64,0,0,4.37,20.76,1.09,7.65,16.39,1.09,5.46,12.02,0,1.09,38.25,1.09,71.04,1.09,0,795.59,32.79,1.09,2.19,0,3.28,1.09
108-118,0,0,5.36,65.87,0.77,4.6,6.13,16.09,1.53,3.06,72.77,0,0,2.3,13.79,0.77,5.36,29.11,0.77,7.66,10.72,1.53,1.53,14.55,0.77,36.77,0,0.77,554.56,29.11,0.77,2.3,0,0,1.53
120,0,0,3.92,72.51,0,1.96,5.88,21.56,0,0,101.91,0,0,1.96,15.68,0,1.96,31.36,0,3.92,7.84,0,1.96,23.52,0,37.24,0,0,585.98,21.56,0,3.92,1.96,0,0
