stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,1,0,0,0,0,0
 24-34,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0.82,56.64,0,0,0,0,0,0,0,0,2.46,0,0,0,0,0
 36-46,0,0,0,0,0,4.83,0,0,0,0,0,0,0,0,0,0,0,0,0,112.79,0,0,0.81,0,0,0.81,0,0,20.14,0,0,0,0,0
 48-58,0,0,0,0,0,20.08,0,0,1.15,0,0,1.15,0,0,0,0,0.57,0,0.57,113.04,0,0,0,0,0,0,0,0,25.25,0,0,0,0,0
 60-70,0,0,0,0,0,299.36,0,0.98,1.96,0,0,0.98,0,0,0,0,6.87,0,0,202.19,0,0,0,0,0,0,0,0,22.58,0,0.98,0,0,0
 72-82,0,0,2.94,0,0,756.86,0,0,22.58,0,0,0.98,0,0,0,0,22.58,0,0.98,305.3,0,0,0.98,0,0.98,0,0,0,19.63,0,0,0.98,0.98,0.98
 84-94,0,0,6.37,0,0,409.95,1.06,0,26.55,1.06,0,1.06,1.06,0,0,0,9.56,1.06,0,172.05,0,0,0,0,0,0,0,0,9.56,0,0,1.06,1.06,1.06
 96-106,0,0,7.65,0,0,520.2,1.09,0,28.41,0,1.09,3.28,0,1.09,3.28,1.09,16.39,0,1.09,183.6,1.09,1.09,4.37,0,0,0,0,0,3.28,2.19,1.09,0,1.09,3.28
108-118,0,0,6.89,1.53,0,304.85,1.53,0,11.49,0.77,0,0.77,0.77,2.3,0,0,9.19,0,0.77,170.81,0.77,0.77,1.53,0,1.53,0,0,1.53,3.83,0,0,0,0.77,0
120,0,0,5.88,0,1.96,203.82,0,0,11.76,0,0,0,0,0,0,0,5.88,1.96,0,186.18,0,1.96,1.96,0,0,0,0,0,3.92,1.96,0,0,0,0
